"cannons"	"rooms"	"age"	"style"	"condition"	"weight"	"color"	"price"
"36"	8	58	47.8	"classic"	6	4224.91175796107	"brown"	44113
"37"	16	54	57.3	"classic"	6	4742.84533023828	"black"	11146
"38"	18	46	67.9	"classic"	8	5057.04463899194	"red"	35173
"39"	16	38	32.3	"classic"	9	5261.12224033793	"brown"	34058
"40"	4	30	34.4	"modern"	5	5525.65057344966	"black"	24396
"41"	20	50	55.5	"classic"	6	4609.57866741049	"red"	53991
"42"	18	54	51.4	"classic"	7	5554.17851988758	"black"	5001
"43"	2	14	55.2	"classic"	6	4319.41198480292	"brown"	25026
"44"	12	34	57.9	"classic"	6	5050.72956611373	"brown"	42763
"45"	18	54	55.5	"modern"	4	5204.93089738697	"black"	-933
"46"	18	54	48.6	"modern"	6	4644.24755315027	"black"	30163
"47"	18	22	49.3	"classic"	9	5169.08796717347	"black"	38895
"48"	18	38	55.6	"classic"	6	5682.27170462203	"black"	6360
"49"	4	10	41.9	"classic"	5	3828.04402766525	"black"	38652
"50"	6	54	54	"modern"	6	4453.43412866829	"red"	10491
"51"	2	10	32.9	"modern"	8	5401.08318623696	"black"	-12179
"52"	4	54	42.9	"modern"	4	5445.09830650751	"brown"	12789
"53"	18	34	44.2	"classic"	4	4908.250468671	"brown"	27930
"54"	12	58	46.5	"classic"	4	4578.40523497638	"black"	35202
"55"	2	50	41.1	"modern"	4	5053.55639675685	"black"	15968
"56"	8	34	43.9	"classic"	6	5397.50932004303	"black"	-15754
"57"	12	18	40.7	"classic"	4	5059.9433083561	"red"	22622
"58"	6	22	65.4	"classic"	8	4923.59728456552	"red"	32271
"59"	18	22	44.8	"modern"	7	5176.46576258257	"brown"	-4456
"60"	8	10	47.1	"classic"	6	5021.92818746203	"red"	20329
"61"	20	30	49.4	"classic"	1	5873.84642086393	"red"	35379
"62"	14	26	47.4	"classic"	6	4760.56564806456	"black"	-5279
"63"	8	30	23.6	"modern"	7	4766.16716588185	"red"	16716
"64"	6	14	38.5	"modern"	5	5103.91665372157	"red"	1965
"65"	10	42	46.6	"classic"	7	5346.21002470064	"black"	-1355
"66"	2	54	62.5	"classic"	2	5287.81471895125	"black"	4431
"67"	4	58	53.2	"modern"	9	5485.85032581555	"brown"	16817
"68"	20	38	54.9	"classic"	9	5344.955607235	"red"	43557
"69"	20	46	65.3	"classic"	4	4991.50915597555	"red"	42746
"70"	4	10	52.5	"classic"	8	5064.16301340352	"brown"	12471
"71"	20	58	54.8	"modern"	3	4309.80330006261	"red"	10161
"72"	18	50	51.3	"classic"	8	4638.14104269403	"red"	41544
"73"	6	46	45.5	"modern"	5	5260.15028791747	"black"	32446
"74"	20	18	57.7	"modern"	5	5247.68609452271	"red"	-6971
"75"	12	30	59.1	"classic"	4	4956.45812491646	"brown"	36183
"76"	12	50	43.2	"modern"	4	5214.61053016386	"brown"	16131
"77"	6	30	36.4	"classic"	5	5537.36525580519	"brown"	28280
"78"	14	54	58.3	"modern"	7	5213.33393202348	"brown"	8510
"79"	20	46	63.5	"classic"	5	4608.5257094882	"red"	42789
"80"	16	30	53.5	"classic"	1	4924.43399333561	"black"	15708
"81"	6	22	58.8	"classic"	4	4657.02156715168	"black"	-871
"82"	14	30	52.3	"classic"	7	5135.54053209656	"black"	1328
"83"	2	34	59	"classic"	6	4939.21608000899	"brown"	30130
"84"	4	42	40.5	"classic"	6	5924.42390916455	"black"	2523
"85"	6	50	57.7	"classic"	5	5220.43333916957	"brown"	45377
"86"	14	54	50.4	"modern"	5	5439.45662776169	"brown"	15763
"87"	6	30	42.6	"classic"	7	5184.14862893654	"black"	29721
"88"	6	38	55.3	"modern"	4	4790.45238496203	"brown"	2417
"89"	14	50	53.9	"classic"	6	5304.4767128109	"black"	27359
"90"	12	10	54	"classic"	6	3944.44592667791	"red"	27618
"91"	2	26	47.4	"modern"	4	5713.19716721694	"black"	31351
"92"	2	14	51.5	"modern"	10	5862.48254678519	"black"	10925
"93"	10	10	56.4	"modern"	8	4924.72222324699	"red"	-13266
"94"	18	46	53.3	"modern"	6	4753.09118206065	"black"	3571
"95"	4	34	51.6	"modern"	2	5312.60541532873	"red"	10202
"96"	2	46	62.5	"modern"	4	5033.58940960849	"black"	10474
"97"	12	22	35.4	"modern"	8	5153.35606501014	"brown"	8526
"98"	8	46	51.3	"modern"	2	4741.57514722876	"black"	32590
"99"	14	10	70.2	"classic"	7	5466.11093417746	"black"	-5814
"100"	16	18	62.5	"classic"	5	5174.96142620222	"black"	9319
"101"	20	42	65.4	"classic"	6	5305.07492956109	"black"	23970
"102"	12	54	58.8	"modern"	5	5257.44846507675	"black"	23866
"103"	4	50	60	"classic"	7	5131.07063739143	"black"	22322
"104"	14	34	49.2	"modern"	5	4963.93462212315	"red"	5434
"105"	18	30	46	"modern"	8	5498.99160414406	"black"	41508
"106"	8	50	45.2	"modern"	4	5458.98861671628	"brown"	6191
"107"	10	58	45.6	"modern"	4	5076.82059026592	"black"	-5731
"108"	16	22	35.1	"modern"	4	5685.24743005306	"red"	5706
"109"	16	38	63.9	"classic"	8	5244.26685422218	"red"	39444
"110"	8	26	49	"modern"	4	4816.422936581	"brown"	2062
"111"	8	14	45.5	"classic"	7	4301.82285784038	"red"	22814
"112"	6	38	54.5	"modern"	2	5071.23542580252	"red"	906
"113"	12	46	36.8	"classic"	6	5453.52282308415	"black"	25573
"114"	10	34	54.4	"classic"	5	5026.79978826681	"black"	27058
"115"	12	18	46.7	"classic"	6	4736.7455094255	"black"	-6458
"116"	12	54	42.9	"modern"	4	4339.47288373976	"black"	29146
"117"	20	26	50.4	"modern"	7	5356.39785904901	"red"	-936
"118"	14	38	49.8	"modern"	3	5501.36439922341	"red"	6659
"119"	4	42	47.5	"classic"	5	5321.89844010012	"red"	35530
"120"	20	54	41.2	"classic"	5	4868.8074780341	"brown"	42546
"121"	10	34	56.1	"classic"	7	4841.45638922212	"red"	34538
"122"	14	38	43	"classic"	6	4552.71359651719	"black"	2476
"123"	8	22	68.9	"classic"	1	5042.650434952	"black"	-7640
"124"	10	30	45.8	"classic"	5	4927.1864052151	"red"	32237
"125"	4	10	49.7	"classic"	7	5773.06248422609	"black"	32513
"126"	10	22	49.8	"classic"	5	4991.90186141569	"black"	15984
"127"	10	50	52.3	"classic"	7	4804.23783348268	"black"	-15401
"128"	10	46	49.2	"classic"	8	4701.45164020559	"black"	-3386
"129"	6	42	43.7	"modern"	7	4877.94414004464	"black"	12886
"130"	8	50	46.3	"modern"	6	5042.47643473845	"red"	6255
"131"	4	26	47.8	"classic"	9	4947.4982842626	"brown"	28510
"132"	14	26	34.9	"modern"	2	5531.37146121722	"black"	23532
"133"	14	30	50.8	"classic"	7	4494.36303502111	"brown"	22426
"134"	16	38	45	"modern"	3	5192.8979862739	"black"	22430
"135"	14	18	43.5	"modern"	7	3830.10802874101	"brown"	-1991
"136"	6	42	36.9	"modern"	5	4937.31093212251	"brown"	19578
"137"	14	30	35.4	"modern"	6	4654.78935062592	"red"	14634
"138"	18	34	57.2	"modern"	5	5315.98116326761	"brown"	-3397
"139"	16	54	38.4	"classic"	7	3989.44463008128	"black"	23496
"140"	6	50	45.4	"classic"	7	5349.41259407092	"brown"	41189
"141"	18	46	41.2	"modern"	7	4732.15877934284	"red"	18664
"142"	6	34	62.9	"classic"	4	4811.20070263892	"red"	31061
"143"	20	42	43.5	"modern"	9	4782.71331975378	"black"	13592
"144"	4	10	47.4	"classic"	7	4919.59582323683	"black"	-21793
"145"	10	30	43.7	"modern"	2	4669.4653413476	"red"	4000
"146"	16	38	51.6	"modern"	5	5817.51567488135	"brown"	4010
"147"	2	26	40.4	"modern"	6	5097.44422644365	"black"	620
"148"	18	50	40.8	"modern"	4	5197.31382672664	"red"	20260
"149"	10	26	49.2	"classic"	5	5093.43276817224	"red"	32866
"150"	4	30	47.3	"classic"	3	4227.46907659318	"black"	-7667
"151"	14	22	63.8	"classic"	10	4715.28554628764	"black"	25518
"152"	8	10	45.9	"modern"	9	4475.47379676523	"black"	13617
"153"	4	58	55.3	"classic"	9	4816.7701893964	"black"	23159
"154"	6	46	58.4	"classic"	3	5696.33831968722	"brown"	38721
"155"	8	34	44.3	"classic"	9	5483.68774830768	"black"	18028
"156"	14	18	42.1	"classic"	8	4983.41402800742	"black"	-6038
"157"	16	18	39	"classic"	10	3657.32290873894	"black"	19947
"158"	12	18	34.6	"classic"	6	5095.07743001546	"brown"	15095
"159"	10	30	45.5	"classic"	8	4316.74025665872	"red"	36228
"160"	14	22	45.7	"modern"	4	4555.59162118039	"black"	31704
"161"	2	54	34.5	"modern"	7	4528.39704955924	"red"	18067
"162"	18	34	43.6	"modern"	9	4525.54075230424	"black"	-7699
"163"	18	26	31	"modern"	8	5169.61563089998	"black"	8294
"164"	18	30	66.5	"modern"	6	4799.39767580448	"brown"	-9749
"165"	14	14	51	"classic"	9	5600.63529007607	"brown"	25289
"166"	6	46	54.5	"classic"	4	4112.08168298808	"black"	8076
"167"	8	54	47.2	"classic"	5	5097.51807764808	"red"	45369
"168"	4	10	55.9	"classic"	6	4917.90580844612	"black"	27313
"169"	18	10	51.5	"modern"	6	5244.99784912379	"brown"	-8695
"170"	4	26	54	"modern"	4	5416.76757395443	"red"	-1498
"171"	2	30	50.2	"classic"	5	4648.01595612696	"black"	35466
"172"	2	22	52.6	"modern"	6	5022.31708396592	"black"	-1343
"173"	14	46	68.9	"classic"	6	5200.56586779561	"brown"	46978
"174"	14	46	51.6	"classic"	3	4368.91195733185	"brown"	32537
"175"	10	38	29.9	"modern"	7	5839.22746565708	"brown"	18486
"176"	20	26	40.2	"modern"	6	4539.92092849335	"black"	482
"177"	12	14	38.3	"modern"	7	5905.00920018338	"brown"	-4437
"178"	12	58	41.3	"modern"	7	4885.9668920351	"brown"	21733
"179"	12	10	36	"classic"	3	5077.77551816936	"black"	-12935
"180"	2	54	55.3	"modern"	7	6222.37091323207	"black"	20342
"181"	2	14	40.1	"modern"	3	5255.47506835127	"black"	18850
"182"	18	30	60.2	"classic"	5	4877.24847673923	"brown"	37389
"183"	10	18	54.6	"classic"	5	5401.61752044577	"brown"	25572
"184"	12	58	51	"modern"	8	4720.91251194221	"brown"	16659
"185"	14	50	61.7	"classic"	4	4014.5592568384	"black"	-10582
"186"	12	22	52.4	"modern"	4	4947.4540543821	"black"	-21021
"187"	10	14	47.9	"classic"	1	5384.60791123187	"brown"	21424
"188"	8	22	52.5	"classic"	6	5782.88895494225	"red"	33139
"189"	2	14	48.2	"modern"	6	5296.90352136893	"black"	-14333
"190"	12	50	45.6	"modern"	9	5428.01021944461	"brown"	9088
"191"	2	38	59.1	"classic"	2	5405.02167195513	"red"	36650
"192"	18	30	42.6	"modern"	6	5495.14484667412	"black"	7207
"193"	12	18	43.4	"modern"	1	4299.354368068	"black"	3442
"194"	2	58	70.8	"classic"	8	5198.05576324779	"black"	-5930
"195"	12	34	56.6	"classic"	3	5003.54564531254	"black"	33084
"196"	6	26	40.7	"classic"	6	4628.37780385878	"black"	-105
"197"	18	14	35.7	"modern"	4	5027.62106924785	"red"	8552
"198"	8	10	53.7	"modern"	7	4813.25285748962	"brown"	-8269
"199"	4	10	59.5	"classic"	5	5270.53133893027	"black"	27044
"200"	18	58	15	"modern"	5	5060.81116425015	"black"	6794
"201"	20	34	44.3	"classic"	5	5993.13679075351	"red"	26901
"202"	4	42	52	"modern"	10	4713.42274237389	"red"	1663
"203"	10	22	67.1	"modern"	4	5627.91462579697	"red"	-14765
"204"	12	26	67	"classic"	6	5423.175400651	"red"	42894
"205"	14	34	42	"classic"	7	5235.930762918	"brown"	25555
"206"	8	38	44.3	"classic"	8	5589.49173010412	"black"	29726
"207"	8	14	82.8	"classic"	5	5553.81192925617	"black"	37617
"208"	16	58	70.3	"classic"	2	4637.72450940256	"black"	43171
"209"	8	50	45.7	"modern"	8	5166.65738861937	"brown"	10716
"210"	18	26	33.3	"classic"	6	4876.85702008345	"brown"	32704
"211"	6	26	48	"classic"	2	4787.03471246617	"black"	23602
"212"	14	14	61.4	"modern"	3	5193.42615218702	"black"	8709
"213"	10	54	52.1	"modern"	7	5252.13659489638	"brown"	15120
"214"	14	46	47.8	"classic"	10	5081.16298929009	"brown"	34286
"215"	20	10	52.9	"modern"	4	3909.94584259959	"black"	-4400
"216"	12	46	55.7	"modern"	5	5488.87481860537	"black"	21688
"217"	14	38	38.3	"modern"	2	4863.70872634154	"brown"	10911
"218"	4	46	51.2	"classic"	6	4398.3117599191	"brown"	38489
"219"	18	42	58	"classic"	7	5972.20640599803	"brown"	42753
"220"	12	10	47.3	"classic"	2	5268.96539032316	"red"	21913
"221"	2	38	67.9	"classic"	7	5143.42364671323	"brown"	49610
"222"	8	38	46.3	"classic"	7	4745.71816213035	"black"	-15629
"223"	4	14	41.6	"modern"	5	5132.5576343761	"brown"	-2672
"224"	20	18	46.8	"classic"	8	5229.82058120306	"black"	5771
"225"	8	14	57.3	"classic"	7	5227.95282299936	"black"	7832
"226"	10	22	62.7	"modern"	6	4845.15909911912	"red"	-6497
"227"	20	26	58	"modern"	7	3927.33911328778	"brown"	2512
"228"	10	46	46	"modern"	6	4377.59866478848	"black"	30596
"229"	4	34	51.5	"modern"	4	5113.87380379996	"red"	-784
"230"	12	18	44	"modern"	9	4209.55556163495	"brown"	-3810
"231"	20	30	47.3	"classic"	8	4394.88131925665	"black"	-8697
"232"	12	34	48	"modern"	6	4653.26368684074	"black"	25471
"233"	12	38	58.3	"classic"	4	5276.34494246515	"brown"	36592
"234"	4	10	50.9	"classic"	5	4651.84235772015	"black"	46070
"235"	4	50	55.7	"modern"	5	5176.91104453013	"black"	6816
"236"	6	30	52.7	"classic"	4	4670.11299002732	"black"	38316
"237"	8	34	53.8	"classic"	5	5266.59366023652	"brown"	37056
"238"	12	50	42.1	"classic"	8	5343.527820037	"black"	-16819
"239"	8	58	50.2	"modern"	2	5475.82774620312	"brown"	11977
"240"	8	50	48.5	"modern"	4	4317.81552445739	"red"	8359
"241"	18	50	46.9	"modern"	5	4752.88559130082	"black"	23944
"242"	16	10	57.6	"classic"	10	5559.69675280948	"black"	24722
"243"	4	38	43.2	"modern"	4	5395.19989180441	"black"	41971
"244"	10	10	52	"modern"	4	5390.24477460111	"brown"	-5617
"245"	4	30	77.6	"classic"	7	4409.52683116292	"black"	7720
"246"	6	18	53.4	"classic"	4	4969.52347412556	"black"	29114
"247"	8	50	39.9	"classic"	9	5205.54200255867	"black"	14347
"248"	2	34	42.6	"modern"	6	4570.66041807555	"black"	19239
"249"	2	22	51.4	"modern"	3	4958.52002681151	"black"	18996
"250"	18	46	41.4	"modern"	3	4763.34800566843	"black"	7836
"251"	8	14	62	"classic"	4	4336.44182697957	"black"	-20651
"252"	8	18	41.2	"modern"	7	4428.36316877091	"brown"	5482
"253"	2	50	49.5	"classic"	7	4541.14522505765	"black"	12600
"254"	8	38	43.1	"classic"	6	3987.41438337357	"red"	32338
"255"	12	54	46	"modern"	5	4554.92483054431	"brown"	24320
"256"	6	22	45.5	"classic"	1	5647.16750919346	"red"	24028
"257"	18	22	46.3	"classic"	8	4033.13135422972	"black"	4547
"258"	18	54	46.3	"classic"	3	4910.34077048778	"black"	10424
"259"	4	22	50	"modern"	5	5236.80141780626	"brown"	-586
"260"	6	26	54.9	"classic"	10	4683.58648899388	"black"	-9579
"261"	10	38	50.1	"modern"	5	5625.55281778883	"black"	27090
"262"	20	54	43.4	"modern"	7	5022.92669529331	"brown"	12350
"263"	20	22	56.1	"classic"	2	5062.32613961807	"brown"	24313
"264"	2	26	46.6	"modern"	4	4542.48470996232	"brown"	1034
"265"	2	30	46.5	"classic"	8	6092.52460516982	"red"	32083
"266"	16	10	69.3	"classic"	8	4300.4396042534	"black"	-1069
"267"	2	58	43.5	"modern"	5	4900.34517617964	"black"	12828
"268"	14	54	71.3	"classic"	5	5051.05083440563	"brown"	52157
"269"	2	58	48.8	"modern"	2	5323.91632849657	"red"	16966
"270"	10	10	49.2	"modern"	1	5755.90434465053	"red"	-4951
"271"	18	42	54.9	"classic"	5	4961.11346362897	"black"	39101
"272"	10	14	37.8	"modern"	8	4523.36016335258	"red"	-99
"273"	12	18	49.2	"modern"	8	4548.55998852761	"black"	28693
"274"	16	34	63.3	"modern"	4	5109.52139279878	"red"	7938
"275"	18	22	55.6	"modern"	4	4450.92878619925	"black"	-6089
"276"	2	46	59.1	"classic"	5	5360.38360930749	"black"	21870
"277"	4	18	49.1	"classic"	5	5197.42287496408	"red"	22830
"278"	16	18	46.1	"modern"	4	5215.69354394394	"brown"	-5977
"279"	12	34	45.2	"modern"	5	5169.25008475885	"black"	-9253
"280"	16	46	40.7	"modern"	7	5023.797925702	"red"	11749
"281"	10	38	60.2	"modern"	6	4762.21659537507	"black"	-7349
"282"	10	50	47.1	"classic"	5	4104.84474219537	"black"	25574
"283"	14	58	27.8	"modern"	6	5888.18579504842	"black"	1493
"284"	16	54	49.6	"classic"	10	4525.51692867684	"black"	29239
"285"	16	58	62.8	"classic"	6	4902.62307059609	"brown"	53318
"286"	10	46	55.1	"modern"	6	5414.62114594309	"black"	23113
"287"	16	42	60.1	"classic"	10	5164.11260770648	"black"	27776
"288"	2	30	47.8	"modern"	7	4442.30172303647	"brown"	2022
"289"	20	14	45.4	"modern"	2	5065.44428508316	"brown"	-5082
"290"	12	14	49.9	"modern"	9	4078.96079025318	"brown"	-346
"291"	12	22	52.1	"modern"	6	5388.44660488214	"black"	29808
"292"	18	34	47.4	"modern"	6	5162.88467370329	"black"	2512
"293"	16	42	50.8	"modern"	6	4931.66008156184	"black"	23202
"294"	8	14	56.6	"classic"	5	4364.25657274585	"red"	31458
"295"	6	30	53.7	"classic"	4	4007.22538070291	"brown"	35000
"296"	16	42	40.6	"modern"	2	4412.19927951103	"brown"	12006
"297"	20	30	47.1	"modern"	5	5143.93283250749	"black"	38054
"298"	2	26	36.6	"modern"	3	6215.58504743125	"black"	44326
"299"	20	18	43.9	"classic"	5	4635.37344457388	"red"	21916
"300"	18	34	38.4	"modern"	7	4812.05093575089	"black"	-7165
"301"	4	58	36	"modern"	8	5234.18659471327	"black"	-9932
"302"	2	34	62.8	"modern"	4	4896.53002068862	"black"	8901
"303"	14	34	59.1	"modern"	6	4627.01686602895	"red"	-6096
"304"	14	22	68.4	"classic"	6	3949.9561578403	"black"	15857
"305"	8	34	50.2	"classic"	3	5079.22888167216	"brown"	38738
"306"	2	54	50.9	"modern"	5	5101.33601547637	"brown"	9904
"307"	10	42	56.4	"modern"	7	5087.401571412	"black"	-3893
"308"	2	22	40.2	"modern"	5	5370.10799855578	"black"	31045
"309"	8	50	47.6	"classic"	10	5234.98644598429	"brown"	50013
"310"	8	50	25	"modern"	7	5324.21944619862	"black"	-6655
"311"	14	26	46	"classic"	8	4648.16913680649	"red"	29222
"312"	4	18	51.3	"modern"	4	4886.85320657499	"brown"	-5242
"313"	2	34	38.4	"modern"	6	4371.6181833563	"black"	-10538
"314"	10	58	55.4	"modern"	7	4816.27064031718	"black"	39673
"315"	4	50	66.5	"classic"	9	4952.70426638555	"black"	21431
"316"	12	34	64	"classic"	5	5498.45865999913	"red"	35264
"317"	10	30	50.5	"classic"	7	5468.85977928832	"brown"	26044
"318"	2	50	41.8	"classic"	4	5308.21240302363	"brown"	38052
"319"	20	22	46.1	"modern"	6	4777.99300049392	"black"	-15389
"320"	16	26	52.1	"modern"	6	6102.23157729891	"red"	-1529
"321"	16	34	55.4	"classic"	5	5216.66822415943	"brown"	28733
"322"	16	18	57.2	"modern"	8	5848.99573480587	"brown"	1359
"323"	8	54	47.2	"classic"	2	4418.10767965827	"black"	-9109
"324"	16	54	54.7	"classic"	8	5396.7948644751	"black"	24551
"325"	8	26	21.9	"modern"	5	5066.83079327649	"red"	15570
"326"	18	26	46.6	"modern"	5	3860.23540461568	"black"	47010
"327"	10	18	43	"classic"	5	5458.581220476	"black"	-5434
"328"	20	18	55	"classic"	10	5138.10117173648	"black"	27841
"329"	18	50	35.8	"modern"	4	4880.18769829995	"brown"	19097
"330"	16	34	44.4	"modern"	2	5470.81511299223	"black"	-23696
"331"	6	10	43.7	"modern"	6	5311.51764295771	"black"	36986
"332"	8	18	55.8	"classic"	6	5385.94643278963	"brown"	24824
"333"	14	50	49.9	"modern"	1	5056.24392743792	"black"	42041
"334"	16	26	57.3	"classic"	8	4716.58820583067	"brown"	32517
"335"	6	30	35.5	"modern"	6	4361.54648116899	"black"	49285
"336"	2	22	53.5	"modern"	4	5032.18801309763	"black"	-179
"337"	6	34	41.7	"modern"	6	5110.67073470311	"black"	-18596
"338"	10	54	27.5	"modern"	6	4922.75653174388	"brown"	27270
"339"	16	38	47.7	"modern"	9	4454.31408154344	"brown"	14160
"340"	2	42	61.3	"classic"	4	4363.55709264067	"black"	36841
"341"	16	38	31.4	"modern"	6	4350.2890825789	"red"	11791
"342"	10	34	45	"classic"	9	5180.31903728505	"red"	33498
"343"	18	54	57.7	"classic"	3	4768.25489834874	"brown"	42344
"344"	4	42	53.5	"classic"	7	5605.16991367538	"black"	-11815
"345"	8	46	50.8	"classic"	4	6329.12736562061	"red"	43452
"346"	16	30	60.4	"classic"	1	4833.24800351143	"brown"	34082
"347"	6	34	49.1	"modern"	7	4714.5660971263	"brown"	2319
"348"	16	46	59.3	"modern"	4	4411.81096298392	"black"	22105
"349"	14	38	29.7	"modern"	3	5154.47665876921	"brown"	17238
"350"	6	50	57.5	"modern"	5	4882.58872429136	"brown"	4008
"351"	20	14	51.2	"modern"	2	4382.1272495212	"black"	-6550
"352"	18	14	61.1	"classic"	2	6177.92779969562	"brown"	31328
"353"	12	26	49	"classic"	4	5169.40185892222	"black"	9421
"354"	4	34	54.9	"classic"	6	5956.75015138905	"black"	-7625
"355"	12	10	40.1	"modern"	7	5195.31556610148	"brown"	-2539
"356"	20	10	33.7	"modern"	5	4694.98463588431	"black"	45627
"357"	12	42	48.6	"modern"	7	4132.51137954532	"brown"	7954
"358"	18	22	38.4	"modern"	3	4799.04085902823	"brown"	2279
"359"	20	46	49.8	"modern"	7	5787.10810087904	"black"	36489
"360"	10	30	51.9	"classic"	3	4838.22947139058	"brown"	30413
"361"	20	30	41.2	"classic"	8	5414.55404030347	"brown"	29832
"362"	8	54	53.4	"modern"	3	4892.97978202442	"black"	-4019
"363"	12	46	29.9	"modern"	5	4769.34038196189	"black"	-14920
"364"	4	34	49.3	"modern"	3	5730.94712441641	"black"	31896
"365"	6	58	63.6	"classic"	4	4657.10232128679	"brown"	50524
"366"	4	46	28	"modern"	9	5182.5061783955	"brown"	17821
"367"	6	46	43.3	"modern"	6	4947.5928191276	"black"	3788
"368"	8	46	68.6	"modern"	7	4419.03723115129	"red"	3902
"369"	2	58	56.2	"classic"	5	5047.3106050395	"black"	12852
"370"	6	26	48.2	"modern"	9	4338.32610372822	"black"	6638
"371"	14	10	54.1	"classic"	7	3908.36065697012	"brown"	15454
"372"	14	38	47.2	"classic"	4	5463.73590792834	"brown"	40337
"373"	10	34	48.8	"modern"	5	4746.17997515742	"red"	8514
"374"	14	18	54.6	"modern"	2	3890.51075756189	"red"	-2943
"375"	10	18	54.7	"classic"	9	5089.90974121489	"red"	30266
"376"	4	54	45	"classic"	2	5075.38571506103	"black"	26442
"377"	18	58	48.5	"modern"	7	5127.85026076118	"brown"	15980
"378"	8	10	47.9	"classic"	4	5076.13444214119	"red"	22387
"379"	6	22	57.9	"classic"	5	4839.8326385372	"brown"	28745
"380"	2	34	46.7	"modern"	6	4762.58692138548	"brown"	4644
"381"	16	46	63.4	"classic"	5	5552.69089009611	"brown"	42989
"382"	8	46	33.2	"modern"	9	5365.16813041013	"black"	25685
"383"	6	38	40.3	"modern"	8	5061.82896763398	"brown"	11865
"384"	20	18	48.6	"modern"	7	5965.26034593289	"red"	-6161
"385"	10	10	57.1	"modern"	4	4664.05794358678	"red"	-12728
"386"	18	42	51.1	"modern"	9	5309.23140148008	"black"	25938
"387"	2	50	56.2	"modern"	4	5295.33473906061	"black"	41837
"388"	10	30	47.6	"classic"	5	5079.50561252885	"brown"	30879
"389"	4	50	40.8	"modern"	4	5154.42099557755	"black"	8188
"390"	12	42	70.2	"classic"	8	4992.9657373651	"black"	9487
"391"	20	18	57.6	"modern"	3	5125.1750383092	"red"	-3823
"392"	18	54	54.2	"classic"	3	4427.22421481184	"black"	11834
"393"	4	22	48.4	"classic"	6	4763.41990154498	"black"	46631
"394"	6	58	53.2	"classic"	7	4030.43524927414	"black"	1747
"395"	8	10	40.4	"classic"	3	5424.82351682263	"red"	22324
"396"	20	14	66.2	"classic"	7	3754.65378110722	"black"	28997
"397"	8	58	57.6	"modern"	4	5062.59226516652	"red"	10098
"398"	18	54	47.5	"classic"	2	5463.87235883338	"black"	4783
"399"	16	46	53	"classic"	7	5232.82615765249	"brown"	46664
"400"	16	54	58.9	"modern"	5	4768.16916125321	"brown"	12376
"401"	12	26	73.4	"classic"	4	5717.31441979638	"black"	44633
"402"	4	34	43.8	"modern"	7	4747.75427769651	"red"	11919
"403"	20	42	68.1	"classic"	6	5734.68979559494	"black"	30335
"404"	20	50	47	"modern"	5	5284.84863735987	"brown"	16643
"405"	2	46	39.5	"modern"	3	5507.53559926115	"black"	17467
"406"	2	18	65.7	"modern"	4	4442.88009285112	"black"	-5683
