"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests.found"	"parrots.lifetime"	"favorite.pirate"	"sword.type"	"sword.speed"
"56"	56	"female"	"no"	31	"JSSFP"	1	15	0	"Edward Low"	"banana"	0.747425514825509
"57"	57	"male"	"yes"	23	"CCCC"	15	4	0	"Jack Sparrow"	"cutlass"	1.51296594134914
"58"	58	"male"	"yes"	30	"JSSFP"	14	11	3	"Edward Low"	"cutlass"	0.188690729846712
"59"	59	"female"	"yes"	36	"JSSFP"	11	21	25	"Blackbeard"	"cutlass"	0.194007879472338
"60"	60	"male"	"yes"	30	"JSSFP"	9	2	3	"Jack Sparrow"	"cutlass"	1.59904270308597
"61"	61	"female"	"yes"	29	"CCCC"	7	4	11	"Blackbeard"	"cutlass"	0.726394004860714
"62"	62	"male"	"yes"	22	"CCCC"	11	27	0	"Jack Sparrow"	"cutlass"	0.0198688544332981
"63"	63	"male"	"no"	29	"CCCC"	5	0	2	"Edward Low"	"cutlass"	1.1508016738232
"64"	64	"male"	"yes"	23	"CCCC"	12	3	2	"Jack Sparrow"	"cutlass"	0.139723419561051
"65"	65	"male"	"no"	26	"CCCC"	3	3	2	"Jack Sparrow"	"sabre"	0.501681021414697
"66"	66	"male"	"yes"	18	"CCCC"	8	0	3	"Hook"	"cutlass"	0.503989255501901
"67"	67	"female"	"yes"	35	"JSSFP"	3	1	2	"Edward Low"	"cutlass"	0.30496520048473
"68"	68	"male"	"yes"	29	"JSSFP"	14	1	0	"Hook"	"scimitar"	0.913310304749757
"69"	69	"female"	"yes"	29	"CCCC"	10	7	4	"Edward Low"	"cutlass"	0.535286858185947
"70"	70	"female"	"no"	28	"CCCC"	5	2	1	"Anicetus"	"scimitar"	3.63689982311285
"71"	71	"male"	"yes"	27	"CCCC"	7	9	2	"Blackbeard"	"cutlass"	0.827781232629724
"72"	72	"female"	"no"	32	"JSSFP"	4	2	1	"Anicetus"	"scimitar"	0.592790588270873
"73"	73	"male"	"yes"	17	"CCCC"	13	12	1	"Jack Sparrow"	"cutlass"	0.128190838102072
"74"	74	"female"	"yes"	34	"JSSFP"	13	5	3	"Blackbeard"	"cutlass"	0.57659460386562
"75"	75	"female"	"yes"	27	"CCCC"	10	4	0	"Blackbeard"	"cutlass"	0.405407714133617
"76"	76	"female"	"yes"	29	"CCCC"	13	5	2	"Lewis Scot"	"cutlass"	1.21654169046657
"77"	77	"female"	"yes"	26	"CCCC"	10	18	7	"Edward Low"	"cutlass"	0.450320675127961
"78"	78	"male"	"yes"	32	"JSSFP"	12	11	2	"Hook"	"cutlass"	0.283649377815891
"79"	79	"female"	"yes"	27	"JSSFP"	12	7	1	"Anicetus"	"cutlass"	0.355162708438002
"80"	80	"female"	"yes"	29	"CCCC"	12	2	1	"Jack Sparrow"	"cutlass"	0.263093853718601
"81"	81	"male"	"yes"	22	"CCCC"	10	4	1	"Jack Sparrow"	"cutlass"	1.12572195003146
"82"	82	"female"	"yes"	28	"CCCC"	12	0	6	"Blackbeard"	"cutlass"	0.636225519675583
"83"	83	"male"	"yes"	16	"CCCC"	8	4	3	"Jack Sparrow"	"cutlass"	0.61723531221208
"84"	84	"male"	"yes"	38	"JSSFP"	12	49	6	"Jack Sparrow"	"cutlass"	0.017515022191219
"85"	85	"male"	"yes"	27	"CCCC"	14	6	4	"Jack Sparrow"	"cutlass"	0.713261422907755
"86"	86	"male"	"no"	25	"CCCC"	2	2	1	"Jack Sparrow"	"banana"	1.44670857080246
"87"	87	"male"	"yes"	33	"JSSFP"	7	1	4	"Jack Sparrow"	"cutlass"	0.0965915971833407
"88"	88	"male"	"yes"	23	"CCCC"	9	1	1	"Jack Sparrow"	"cutlass"	0.448746610750705
"89"	89	"female"	"yes"	29	"CCCC"	6	2	9	"Anicetus"	"cutlass"	0.354966429586057
"90"	90	"female"	"yes"	30	"JSSFP"	10	12	2	"Anicetus"	"cutlass"	0.621336498244428
"91"	91	"male"	"yes"	28	"CCCC"	9	8	3	"Jack Sparrow"	"cutlass"	0.0507459163782187
"92"	92	"female"	"yes"	40	"JSSFP"	11	11	5	"Anicetus"	"cutlass"	3.43998796404587
"93"	93	"male"	"yes"	26	"CCCC"	14	1	0	"Jack Sparrow"	"scimitar"	2.22016392275691
"94"	94	"male"	"yes"	30	"CCCC"	10	9	1	"Edward Low"	"scimitar"	1.177535536699
"95"	95	"female"	"no"	28	"CCCC"	1	10	2	"Lewis Scot"	"cutlass"	0.254605958471075
"96"	96	"female"	"yes"	34	"JSSFP"	16	8	6	"Edward Low"	"cutlass"	0.0995791452027604
"97"	97	"female"	"yes"	34	"JSSFP"	9	8	4	"Anicetus"	"cutlass"	0.376660613401327
"98"	98	"male"	"yes"	26	"CCCC"	7	3	0	"Jack Sparrow"	"cutlass"	0.31679489020671
"99"	99	"male"	"yes"	21	"CCCC"	9	15	3	"Lewis Scot"	"cutlass"	0.182301050808746
"100"	100	"female"	"yes"	26	"CCCC"	11	0	1	"Lewis Scot"	"cutlass"	0.250150846550241
"101"	101	"other"	"no"	28	"CCCC"	5	2	2	"Anicetus"	"scimitar"	3.63802645024018
"102"	102	"female"	"yes"	29	"CCCC"	13	9	1	"Hook"	"cutlass"	0.132671391732565
"103"	103	"female"	"yes"	24	"CCCC"	3	13	3	"Lewis Scot"	"cutlass"	0.0310360838193446
"104"	104	"male"	"yes"	24	"CCCC"	11	11	2	"Anicetus"	"cutlass"	0.125535782426596
"105"	105	"male"	"yes"	21	"CCCC"	14	7	3	"Jack Sparrow"	"cutlass"	2.1135092525624
"106"	106	"female"	"yes"	25	"CCCC"	5	2	8	"Hook"	"cutlass"	0.960359926050172
"107"	107	"male"	"yes"	26	"CCCC"	6	0	3	"Jack Sparrow"	"cutlass"	0.238277639145963
"108"	108	"male"	"yes"	26	"CCCC"	8	11	0	"Jack Sparrow"	"cutlass"	0.855944568730712
"109"	109	"male"	"no"	29	"JSSFP"	3	7	0	"Edward Low"	"scimitar"	1.099724736996
"110"	110	"male"	"yes"	17	"CCCC"	7	6	6	"Lewis Scot"	"cutlass"	0.263081507291645
"111"	111	"male"	"yes"	28	"CCCC"	15	2	5	"Jack Sparrow"	"cutlass"	2.92465732649979
"112"	112	"other"	"yes"	26	"CCCC"	6	6	1	"Edward Low"	"cutlass"	1.56006378463043
"113"	113	"male"	"yes"	21	"CCCC"	9	3	3	"Jack Sparrow"	"cutlass"	0.18400754139293
"114"	114	"male"	"yes"	20	"CCCC"	8	8	0	"Jack Sparrow"	"scimitar"	7.23598250117588
"115"	115	"female"	"yes"	18	"CCCC"	8	1	1	"Lewis Scot"	"cutlass"	1.79193080112625
"116"	116	"male"	"yes"	18	"CCCC"	14	4	2	"Jack Sparrow"	"cutlass"	0.447131263932435
"117"	117	"male"	"no"	23	"CCCC"	2	0	1	"Jack Sparrow"	"cutlass"	0.479696942006654
"118"	118	"female"	"yes"	30	"CCCC"	9	16	1	"Lewis Scot"	"cutlass"	0.118275466666091
"119"	119	"female"	"yes"	33	"JSSFP"	14	9	1	"Anicetus"	"cutlass"	0.308461281238124
"120"	120	"female"	"yes"	36	"JSSFP"	9	3	7	"Anicetus"	"cutlass"	1.3424825676787
"121"	121	"male"	"yes"	21	"CCCC"	9	0	3	"Anicetus"	"cutlass"	0.875200232579958
"122"	122	"other"	"yes"	37	"JSSFP"	12	4	2	"Blackbeard"	"cutlass"	0.159646117244847
"123"	123	"female"	"yes"	33	"JSSFP"	10	4	0	"Lewis Scot"	"cutlass"	2.36585272812195
"124"	124	"male"	"yes"	30	"JSSFP"	3	13	4	"Jack Sparrow"	"cutlass"	0.792162955551436
"125"	125	"male"	"no"	34	"JSSFP"	7	17	1	"Jack Sparrow"	"sabre"	2.92938892850624
"126"	126	"female"	"yes"	28	"CCCC"	15	2	6	"Jack Sparrow"	"cutlass"	1.07913647956889
"127"	127	"female"	"yes"	31	"JSSFP"	5	4	6	"Anicetus"	"cutlass"	1.03947511391691
"128"	128	"female"	"yes"	27	"CCCC"	13	13	0	"Anicetus"	"cutlass"	0.229251748532988
"129"	129	"male"	"yes"	26	"CCCC"	9	2	3	"Anicetus"	"cutlass"	0.434244756430125
"130"	130	"male"	"yes"	19	"CCCC"	8	31	3	"Jack Sparrow"	"cutlass"	0.366777122835629
"131"	131	"male"	"yes"	24	"CCCC"	11	15	1	"Anicetus"	"cutlass"	1.29361519468354
"132"	132	"female"	"yes"	24	"CCCC"	10	0	5	"Edward Low"	"cutlass"	0.365002947219182
"133"	133	"female"	"yes"	22	"CCCC"	16	0	0	"Hook"	"scimitar"	5.83432702897336
"134"	134	"male"	"yes"	24	"CCCC"	10	4	2	"Jack Sparrow"	"cutlass"	0.017170259495395
"135"	135	"male"	"no"	33	"JSSFP"	7	8	1	"Jack Sparrow"	"banana"	0.129462157574815
"136"	136	"female"	"no"	30	"CCCC"	3	5	5	"Edward Low"	"scimitar"	1.95908104683411
"137"	137	"male"	"yes"	20	"CCCC"	13	1	1	"Anicetus"	"cutlass"	0.967681410204262
"138"	138	"female"	"yes"	31	"JSSFP"	10	11	5	"Edward Low"	"cutlass"	0.143532301299274
"139"	139	"male"	"yes"	24	"CCCC"	12	13	5	"Blackbeard"	"sabre"	0.0211947939048211
"140"	140	"female"	"no"	31	"JSSFP"	6	13	6	"Anicetus"	"scimitar"	0.0612344365652889
"141"	141	"female"	"yes"	36	"JSSFP"	6	20	13	"Hook"	"cutlass"	1.94181154005903
"142"	142	"male"	"yes"	18	"CCCC"	7	2	0	"Hook"	"cutlass"	0.800714647021897
"143"	143	"male"	"yes"	30	"JSSFP"	5	5	1	"Jack Sparrow"	"cutlass"	0.846426744802676
"144"	144	"female"	"yes"	29	"CCCC"	10	4	2	"Edward Low"	"cutlass"	0.0584579940186813
"145"	145	"male"	"yes"	23	"CCCC"	16	24	2	"Jack Sparrow"	"cutlass"	0.262917516229209
"146"	146	"male"	"yes"	26	"CCCC"	15	1	3	"Lewis Scot"	"cutlass"	0.501021135823692
"147"	147	"male"	"no"	17	"CCCC"	5	3	1	"Jack Sparrow"	"scimitar"	2.23519391994131
"148"	148	"female"	"yes"	18	"CCCC"	5	0	0	"Blackbeard"	"cutlass"	0.744837528301224
"149"	149	"male"	"yes"	30	"JSSFP"	7	2	7	"Jack Sparrow"	"cutlass"	0.0595590056036599
"150"	150	"female"	"yes"	34	"JSSFP"	12	11	4	"Jack Sparrow"	"cutlass"	0.195813404861838
"151"	151	"female"	"yes"	27	"CCCC"	10	0	0	"Anicetus"	"cutlass"	0.462203088885514
"152"	152	"male"	"yes"	20	"CCCC"	10	3	5	"Jack Sparrow"	"cutlass"	0.367131543171126
"153"	153	"male"	"yes"	27	"CCCC"	8	9	0	"Jack Sparrow"	"cutlass"	0.363546516455244
"154"	154	"female"	"yes"	22	"CCCC"	3	15	6	"Blackbeard"	"cutlass"	0.714270344025402
"155"	155	"male"	"yes"	24	"CCCC"	12	7	2	"Jack Sparrow"	"cutlass"	0.356812837417237
"156"	156	"female"	"yes"	28	"CCCC"	11	3	8	"Hook"	"cutlass"	1.16103740536185
"157"	157	"male"	"yes"	33	"JSSFP"	11	0	3	"Jack Sparrow"	"scimitar"	1.30020269596136
"158"	158	"female"	"yes"	25	"CCCC"	9	2	3	"Lewis Scot"	"cutlass"	1.28902969178149
"159"	159	"female"	"yes"	32	"JSSFP"	15	1	1	"Edward Low"	"cutlass"	1.18323808003311
"160"	160	"male"	"yes"	30	"JSSFP"	12	13	10	"Jack Sparrow"	"cutlass"	0.275671840417351
"161"	161	"female"	"yes"	32	"CCCC"	10	1	4	"Blackbeard"	"cutlass"	0.0168217217213334
"162"	162	"male"	"yes"	28	"CCCC"	16	19	3	"Jack Sparrow"	"cutlass"	1.32435239261521
"163"	163	"male"	"yes"	38	"JSSFP"	12	4	2	"Edward Low"	"cutlass"	0.00172467494849116
"164"	164	"male"	"yes"	24	"CCCC"	4	12	0	"Lewis Scot"	"cutlass"	0.0615244504297152
"165"	165	"female"	"yes"	24	"CCCC"	9	1	2	"Blackbeard"	"cutlass"	0.312612791260897
"166"	166	"male"	"yes"	29	"JSSFP"	10	42	3	"Jack Sparrow"	"cutlass"	3.5914692187444
"167"	167	"female"	"yes"	34	"JSSFP"	14	7	4	"Blackbeard"	"cutlass"	0.211089042131789
"168"	168	"male"	"yes"	21	"CCCC"	9	0	1	"Jack Sparrow"	"cutlass"	0.161683101079926
"169"	169	"male"	"yes"	20	"CCCC"	14	6	2	"Jack Sparrow"	"cutlass"	1.47874411304055
"170"	170	"male"	"yes"	29	"CCCC"	12	2	3	"Lewis Scot"	"cutlass"	1.59400658557697
"171"	171	"male"	"yes"	24	"CCCC"	7	7	3	"Jack Sparrow"	"scimitar"	2.42322404408522
"172"	172	"male"	"yes"	28	"CCCC"	5	11	2	"Hook"	"cutlass"	0.21367199307399
"173"	173	"male"	"yes"	20	"CCCC"	7	8	6	"Jack Sparrow"	"cutlass"	1.66004405698313
"174"	174	"male"	"yes"	13	"CCCC"	10	2	4	"Jack Sparrow"	"cutlass"	0.0291434536034002
"175"	175	"male"	"yes"	17	"CCCC"	9	3	1	"Jack Sparrow"	"cutlass"	0.223529984341635
"176"	176	"male"	"yes"	29	"JSSFP"	12	31	1	"Jack Sparrow"	"cutlass"	0.341025794914458
"177"	177	"male"	"yes"	33	"JSSFP"	12	6	0	"Jack Sparrow"	"scimitar"	10.1104704295411
"178"	178	"male"	"yes"	19	"CCCC"	16	3	1	"Jack Sparrow"	"cutlass"	0.102341066347558
"179"	179	"male"	"yes"	29	"JSSFP"	8	11	0	"Jack Sparrow"	"cutlass"	0.68330075938423
"180"	180	"male"	"yes"	19	"CCCC"	16	3	2	"Jack Sparrow"	"cutlass"	0.775201008628875
"181"	181	"female"	"yes"	29	"JSSFP"	12	27	1	"Anicetus"	"cutlass"	0.196934537186942
"182"	182	"male"	"yes"	28	"CCCC"	10	1	1	"Jack Sparrow"	"cutlass"	0.246081512013916
"183"	183	"female"	"yes"	31	"JSSFP"	4	3	4	"Lewis Scot"	"cutlass"	1.56045710088928
"184"	184	"female"	"yes"	38	"JSSFP"	13	18	13	"Hook"	"cutlass"	0.532007363984944
"185"	185	"female"	"yes"	40	"JSSFP"	14	6	5	"Jack Sparrow"	"cutlass"	1.6097399025869
"186"	186	"female"	"yes"	32	"JSSFP"	10	36	6	"Anicetus"	"cutlass"	0.210814872989431
"187"	187	"female"	"yes"	24	"CCCC"	7	14	1	"Anicetus"	"cutlass"	0.407911813817918
"188"	188	"female"	"yes"	31	"JSSFP"	7	13	9	"Anicetus"	"cutlass"	1.0758681455102
"189"	189	"other"	"yes"	25	"CCCC"	7	9	0	"Anicetus"	"cutlass"	1.70007745145394
"190"	190	"male"	"yes"	16	"CCCC"	8	1	0	"Lewis Scot"	"cutlass"	0.205071731761564
"191"	191	"female"	"yes"	46	"JSSFP"	12	22	3	"Anicetus"	"cutlass"	0.660296583638348
"192"	192	"female"	"yes"	33	"JSSFP"	16	3	0	"Jack Sparrow"	"cutlass"	0.608485332314678
"193"	193	"female"	"yes"	30	"JSSFP"	12	18	2	"Edward Low"	"cutlass"	0.104329887835775
"194"	194	"male"	"yes"	26	"CCCC"	13	2	1	"Jack Sparrow"	"cutlass"	0.0978628366740848
"195"	195	"male"	"yes"	21	"CCCC"	13	5	1	"Hook"	"cutlass"	0.37136733852094
"196"	196	"female"	"yes"	22	"CCCC"	20	2	0	"Lewis Scot"	"cutlass"	0.300359930813446
"197"	197	"male"	"yes"	27	"CCCC"	9	8	1	"Jack Sparrow"	"cutlass"	0.384080797177007
"198"	198	"female"	"yes"	24	"CCCC"	12	3	1	"Hook"	"cutlass"	1.36027120627968
"199"	199	"male"	"yes"	25	"CCCC"	3	4	2	"Jack Sparrow"	"cutlass"	0.664503268172786
"200"	200	"female"	"yes"	34	"JSSFP"	9	2	7	"Edward Low"	"cutlass"	0.225582043131387
"201"	201	"female"	"yes"	31	"CCCC"	12	16	3	"Jack Sparrow"	"cutlass"	0.35721860913327
"202"	202	"female"	"yes"	34	"JSSFP"	15	1	1	"Anicetus"	"cutlass"	0.588684726363801
"203"	203	"male"	"yes"	24	"CCCC"	6	0	0	"Jack Sparrow"	"cutlass"	0.375564128044061
"204"	204	"female"	"yes"	27	"CCCC"	16	14	0	"Jack Sparrow"	"cutlass"	0.190593915467616
"205"	205	"male"	"yes"	29	"CCCC"	9	3	7	"Lewis Scot"	"cutlass"	0.119919803983066
"206"	206	"male"	"yes"	26	"CCCC"	14	0	1	"Jack Sparrow"	"cutlass"	0.870770372178431
"207"	207	"female"	"yes"	31	"JSSFP"	11	1	0	"Blackbeard"	"cutlass"	0.394830639997963
"208"	208	"female"	"yes"	40	"JSSFP"	7	3	7	"Jack Sparrow"	"cutlass"	0.237654584343545
"209"	209	"male"	"yes"	19	"CCCC"	8	1	2	"Hook"	"cutlass"	0.110960433509633
"210"	210	"female"	"yes"	35	"JSSFP"	12	22	3	"Blackbeard"	"cutlass"	0.903758314393156
"211"	211	"female"	"yes"	29	"CCCC"	9	13	5	"Anicetus"	"cutlass"	0.382667220837902
"212"	212	"male"	"yes"	30	"JSSFP"	13	9	4	"Anicetus"	"cutlass"	0.283373808779288
"213"	213	"female"	"no"	31	"JSSFP"	3	1	1	"Jack Sparrow"	"scimitar"	3.73047724612072
"214"	214	"female"	"yes"	35	"JSSFP"	11	3	3	"Edward Low"	"cutlass"	1.61361837402491
"215"	215	"male"	"yes"	22	"CCCC"	10	1	2	"Jack Sparrow"	"cutlass"	0.0183200317844792
"216"	216	"male"	"yes"	30	"JSSFP"	11	5	2	"Jack Sparrow"	"cutlass"	0.61337230724451
"217"	217	"male"	"yes"	28	"CCCC"	9	3	0	"Anicetus"	"cutlass"	0.521672654087963
"218"	218	"male"	"yes"	32	"JSSFP"	9	6	0	"Jack Sparrow"	"cutlass"	0.0867790082702413
"219"	219	"male"	"yes"	28	"CCCC"	9	3	3	"Jack Sparrow"	"cutlass"	0.0170625853417697
"220"	220	"female"	"yes"	31	"CCCC"	12	0	10	"Hook"	"cutlass"	0.31405954599175
"221"	221	"female"	"yes"	34	"JSSFP"	15	5	3	"Anicetus"	"cutlass"	0.957913971453548
"222"	222	"male"	"yes"	28	"CCCC"	11	7	1	"Lewis Scot"	"cutlass"	0.183265813393518
"223"	223	"female"	"yes"	37	"JSSFP"	4	7	14	"Blackbeard"	"cutlass"	0.402091522410046
"224"	224	"male"	"yes"	20	"CCCC"	4	3	1	"Edward Low"	"cutlass"	0.168276084335748
"225"	225	"male"	"yes"	25	"CCCC"	13	19	2	"Jack Sparrow"	"cutlass"	2.77965369851407
"226"	226	"male"	"yes"	31	"CCCC"	5	2	2	"Jack Sparrow"	"cutlass"	0.236468641378963
"227"	227	"female"	"yes"	36	"JSSFP"	9	4	1	"Blackbeard"	"cutlass"	0.165936460252851
"228"	228	"female"	"yes"	30	"CCCC"	10	12	1	"Anicetus"	"cutlass"	1.88478911437027
"229"	229	"female"	"yes"	34	"JSSFP"	10	8	1	"Hook"	"cutlass"	0.105567511054687
"230"	230	"female"	"yes"	25	"CCCC"	14	9	7	"Anicetus"	"cutlass"	1.01717637613752
"231"	231	"male"	"yes"	30	"JSSFP"	12	2	4	"Lewis Scot"	"cutlass"	0.184575252060313
"232"	232	"male"	"yes"	35	"JSSFP"	10	11	0	"Hook"	"cutlass"	0.527542929022394
"233"	233	"female"	"yes"	27	"CCCC"	8	10	0	"Anicetus"	"sabre"	0.100108824359874
"234"	234	"female"	"yes"	28	"CCCC"	12	9	3	"Hook"	"cutlass"	0.8408492605405
"235"	235	"other"	"yes"	25	"CCCC"	8	3	10	"Blackbeard"	"cutlass"	0.925541353512007
"236"	236	"male"	"yes"	13	"CCCC"	5	13	2	"Jack Sparrow"	"cutlass"	0.592378019415046
"237"	237	"male"	"yes"	26	"CCCC"	12	14	7	"Anicetus"	"cutlass"	0.352159325557295
"238"	238	"female"	"yes"	23	"CCCC"	9	5	1	"Blackbeard"	"cutlass"	0.809117621366687
"239"	239	"male"	"no"	21	"CCCC"	1	7	4	"Jack Sparrow"	"sabre"	0.669550774317225
"240"	240	"male"	"yes"	26	"CCCC"	8	9	3	"Jack Sparrow"	"cutlass"	0.8289797167264
"241"	241	"female"	"yes"	30	"CCCC"	12	7	0	"Lewis Scot"	"cutlass"	1.69485777026548
"242"	242	"male"	"yes"	15	"CCCC"	6	1	2	"Jack Sparrow"	"cutlass"	0.0109045955468901
"243"	243	"male"	"yes"	22	"CCCC"	9	5	0	"Edward Low"	"cutlass"	1.37036711784585
"244"	244	"female"	"yes"	34	"JSSFP"	12	1	2	"Edward Low"	"cutlass"	1.46158489740028
"245"	245	"male"	"yes"	19	"CCCC"	11	8	1	"Lewis Scot"	"cutlass"	0.468113044832708
"246"	246	"female"	"yes"	30	"CCCC"	9	4	0	"Lewis Scot"	"cutlass"	1.05654048844577
"247"	247	"female"	"yes"	34	"JSSFP"	6	12	3	"Lewis Scot"	"cutlass"	0.412778136669658
"248"	248	"female"	"yes"	33	"JSSFP"	14	3	2	"Lewis Scot"	"cutlass"	0.544258941055097
"249"	249	"male"	"yes"	27	"CCCC"	8	4	2	"Jack Sparrow"	"cutlass"	0.143299162393843
"250"	250	"female"	"yes"	30	"CCCC"	11	3	0	"Jack Sparrow"	"cutlass"	0.230916860455181
"251"	251	"female"	"yes"	31	"CCCC"	7	2	11	"Anicetus"	"cutlass"	0.356204097915906
"252"	252	"female"	"yes"	37	"JSSFP"	11	11	2	"Anicetus"	"sabre"	1.15436831023544
"253"	253	"other"	"yes"	24	"CCCC"	9	2	1	"Edward Low"	"cutlass"	0.116561814060363
