"size"	"cannons"	"style"	"warnshot"	"date"	"heardof"	"decorations"	"daysfromshore"	"speed"	"treasure"
"142"	41	26	"modern"	0	194	1	4	2	18.5852487016527	1645.85248701653
"143"	51	8	"modern"	0	115	0	5	25	18.1063376765793	1266.06337676579
"144"	53	26	"modern"	0	196	0	4	13	16.299476002535	1737.99476002535
"145"	46	32	"modern"	0	262	0	3	3	19.6891543950796	1821.8915439508
"146"	46	10	"classic"	0	191	0	4	6	18.4183664311903	1364.1836643119
"147"	48	28	"modern"	0	187	1	7	18	22.9342431970327	1799.34243197033
"148"	48	42	"modern"	0	267	0	6	19	22.1092266021553	2016.09226602155
"149"	52	36	"modern"	0	279	1	2	2	18.8724569345489	2008.72456934549
"150"	51	24	"modern"	1	214	1	5	19	18.8015859038675	1768.01585903867
"151"	54	20	"modern"	0	53	0	4	1	20.199041442425	1796.99041442425
"152"	57	28	"modern"	0	230	1	1	30	23.2036312947651	3152.03631294765
"153"	50	24	"modern"	0	282	0	9	15	19.6593248803248	1801.59324880325
"154"	50	30	"modern"	0	44	0	1	24	23.0727503188403	3095.7275031884
"155"	51	12	"modern"	0	265	0	4	13	18.8484073372477	1443.48407337248
"156"	49	44	"modern"	0	45	0	6	16	22.5499874773992	2110.49987477399
"157"	50	32	"modern"	0	221	1	10	6	18.8950636275413	2088.95063627541
"158"	50	60	"modern"	0	15	1	7	26	24.8602102651498	2418.6021026515
"159"	51	88	"modern"	0	106	0	7	1	17.1464287573476	3156.46428757348
"160"	51	24	"modern"	0	83	0	9	25	16.0828049260851	1685.82804926085
"161"	49	32	"modern"	0	361	1	1	24	19.476945749462	3094.76945749462
"162"	50	38	"modern"	1	243	0	9	5	18.7205144555502	2272.2051445555
"163"	49	52	"modern"	1	260	0	2	18	18.6636390160301	2191.6363901603
"164"	53	16	"modern"	0	349	1	6	21	18.5580735566184	1555.58073556618
"165"	50	26	"modern"	0	246	0	1	21	24.3500799431892	1558.50079943189
"166"	47	46	"modern"	0	104	0	4	22	23.084970994716	1995.84970994716
"167"	49	28	"modern"	0	199	0	1	9	17.8410276340908	1633.41027634091
"168"	47	12	"modern"	0	123	0	4	15	19.3766481609048	1348.76648160905
"169"	51	46	"modern"	0	112	1	1	28	23.6184023407247	1916.18402340725
"170"	53	46	"modern"	0	108	0	8	3	18.5077142649818	2380.07714264982
"171"	53	62	"modern"	0	216	1	6	26	17.9691619745959	2419.69161974596
"172"	51	30	"modern"	1	154	1	7	4	24.7779830023562	2157.77983002356
"173"	50	12	"modern"	0	88	0	6	18	22.3878913733584	1468.87891373358
"174"	51	48	"modern"	1	337	0	4	12	21.8760139422251	2303.76013942225
"175"	50	42	"modern"	0	112	0	9	18	20.5887896990315	2140.88789699032
"176"	42	16	"classic"	0	120	1	8	24	19.9530987514559	1374.53098751456
"177"	51	36	"classic"	0	242	0	5	11	11.8157767476669	1898.15776747667
"178"	49	40	"modern"	0	305	1	5	27	25.6612470998275	1936.61247099827
"179"	55	24	"modern"	0	320	1	3	24	17.5532657840191	1625.53265784019
"180"	59	70	"modern"	0	235	0	1	9	19.9989374456929	2694.98937445693
"181"	45	44	"modern"	0	238	0	4	25	17.5735490029537	1830.73549002954
"182"	52	26	"modern"	0	294	0	8	5	19.0639254280955	1945.63925428095
"183"	50	38	"modern"	0	122	0	9	7	22.798661968925	2192.98661968925
"184"	48	14	"modern"	0	173	0	2	12	20.1629191119579	1386.62919111958
"185"	52	48	"modern"	0	238	1	3	18	20.2591269171121	2132.59126917112
"186"	53	48	"modern"	0	310	0	5	25	18.1809419300387	2106.80941930039
"187"	50	62	"classic"	0	197	1	5	14	19.9905992004412	2464.90599200441
"188"	49	32	"classic"	0	239	0	5	28	26.7004546418061	1757.00454641806
"189"	46	54	"modern"	0	110	1	1	14	17.829797362996	2058.29797362996
"190"	48	24	"modern"	0	208	0	5	8	21.8912115039629	1733.91211503963
"191"	49	20	"classic"	0	128	0	10	25	21.403878866196	1644.03878866196
"192"	49	16	"modern"	0	5	0	4	9	19.5338025033244	1530.33802503324
"193"	54	34	"modern"	1	347	0	1	20	21.4802960076087	1879.80296007609
"194"	49	26	"modern"	0	160	0	1	28	21.3068844663938	2938.06884466394
"195"	58	54	"modern"	0	181	0	4	13	23.9474544851765	2474.47454485176
"196"	48	24	"modern"	0	243	0	6	26	19.3666251254314	1558.66625125431
"197"	56	34	"modern"	0	229	0	1	13	23.0495752169372	3405.49575216937
"198"	51	32	"modern"	0	257	0	6	17	18.2726133259457	1857.72613325946
"199"	46	24	"modern"	0	357	0	3	26	20.1092414634087	1436.09241463409
"200"	52	0	"modern"	1	61	0	4	6	23.3816044907793	1438.81604490779
"201"	50	66	"modern"	0	101	0	2	28	20.9863870398841	2314.86387039884
"202"	49	22	"modern"	0	328	0	3	8	23.5591199860927	1670.59119986093
"203"	53	44	"modern"	1	246	0	2	21	22.511451050353	2120.11451050353
"204"	52	42	"modern"	0	125	0	4	11	27.0856111468027	2165.85611146803
"205"	54	18	"modern"	1	82	0	3	29	21.39979177069	1558.9979177069
"206"	46	34	"modern"	0	165	1	2	28	20.5370950871488	1605.37095087149
"207"	48	0	"modern"	0	277	0	2	20	20.9201717085017	1034.20171708502
"208"	46	36	"modern"	1	186	0	1	18	21.6565096885899	3281.5650968859
"209"	38	38	"modern"	0	116	0	1	21	16.0745002597859	2975.74500259786
"210"	51	44	"modern"	0	159	0	3	7	18.370163045588	2108.70163045588
"211"	55	22	"modern"	1	323	0	1	29	20.7424938340686	3062.42493834069
"212"	53	42	"modern"	0	234	0	3	25	22.3582558702309	1968.58255870231
"213"	45	0	"modern"	1	225	1	6	7	21.4220268392913	1344.22026839291
"214"	47	58	"modern"	0	145	0	6	21	15.598930074724	2230.98930074724
"215"	43	18	"modern"	1	78	0	8	30	20.7217338255655	1472.21733825565
"216"	55	28	"modern"	0	340	0	1	26	17.1074792715475	3076.07479271547
"217"	49	44	"modern"	0	162	1	5	21	24.1920099935967	2061.92009993597
"218"	46	26	"classic"	0	72	1	9	12	18.7670088642794	1792.67008864279
"219"	54	10	"modern"	0	150	0	4	16	27.2389541668175	1517.38954166818
"220"	49	6	"modern"	0	214	0	8	4	18.353726671924	1488.53726671924
"221"	44	74	"modern"	0	249	0	1	18	21.2627183418883	3897.62718341888
"222"	50	36	"modern"	0	207	0	2	17	18.5332213536526	1800.33221353653
"223"	50	40	"modern"	1	301	0	1	15	24.6535660790042	2001.53566079004
"224"	51	42	"modern"	0	92	0	2	21	17.4479476799262	1889.47947679926
"225"	52	62	"classic"	0	21	1	9	6	14.3234539350463	2648.23453935046
"226"	47	0	"modern"	0	82	0	6	4	16.7584023355461	1252.58402335546
"227"	53	26	"modern"	0	296	0	6	2	18.0774501612397	1925.7745016124
"228"	45	48	"modern"	1	348	0	8	24	19.3561394739983	2158.56139473998
"229"	55	54	"classic"	0	297	0	8	10	25.2400066046138	2572.40006604614
"230"	48	54	"modern"	1	336	0	4	3	24.1885338914751	2476.88533891475
"231"	52	2	"modern"	0	165	0	1	10	18.3985130303101	1168.9851303031
"232"	52	28	"modern"	0	114	1	2	1	18.525531844575	1855.25531844575
"233"	49	24	"modern"	1	364	1	1	28	21.8681355152713	1518.68135515271
"234"	44	46	"modern"	0	47	0	1	10	18.8835290012859	1893.83529001286
"235"	49	12	"modern"	0	134	0	2	18	22.5281750853399	1330.2817508534
"236"	48	20	"modern"	1	227	0	2	17	17.826102025808	1533.26102025808
"237"	48	56	"modern"	0	41	0	1	30	15.3080491682763	1938.08049168276
"238"	53	50	"modern"	0	203	0	3	20	19.5802450969879	2150.80245096988
"239"	53	36	"modern"	0	28	0	1	2	20.8911217808849	1973.91121780885
"240"	51	42	"modern"	0	9	1	1	24	17.6785964398806	3316.78596439881
"241"	47	38	"modern"	0	164	0	3	11	16.6153958609848	1851.15395860985
"242"	60	38	"modern"	0	340	0	6	1	20.1056773505786	2336.05677350579
"243"	43	22	"modern"	0	309	1	4	3	19.5185213393982	1605.18521339398
"244"	44	46	"modern"	0	150	0	3	12	18.3074755441486	1958.07475544149
"245"	51	8	"modern"	0	292	0	1	20	20.8679202058108	1193.67920205811
"246"	61	20	"classic"	0	9	0	5	12	20.0917151964538	1850.91715196454
"247"	49	58	"modern"	0	267	0	6	3	22.2729558260427	2517.72955826043
"248"	45	0	"classic"	1	135	0	2	23	19.0226980268846	1020.22698026885
"249"	48	30	"modern"	0	176	1	2	27	18.1381741783138	1551.38174178314
"250"	60	22	"modern"	0	42	0	4	1	20.4174374627254	1959.17437462725
"251"	47	2	"classic"	0	228	0	10	18	20.8042749158827	1308.04274915883
"252"	48	62	"modern"	1	289	1	8	12	20.3510439204124	2643.51043920412
"253"	49	36	"modern"	0	139	0	4	5	22.4366317001899	1999.3663170019
"254"	53	34	"classic"	0	108	0	1	14	22.022629109318	3320.22629109318
"255"	53	42	"modern"	1	143	1	1	6	24.6859315923061	3706.85931592306
"256"	48	62	"modern"	1	33	0	2	4	17.9729324082293	2504.72932408229
"257"	42	56	"modern"	0	149	0	7	14	19.8523416631276	2233.52341663128
"258"	58	64	"modern"	1	15	1	1	28	18.7398609677056	2467.39860967706
"259"	45	0	"classic"	0	330	1	1	23	18.6069143572323	2371.06914357232
"260"	48	0	"modern"	0	44	0	2	27	18.3406668605061	938.406668605061
"261"	51	30	"modern"	0	211	0	1	26	23.0844908753879	3095.84490875388
"262"	52	40	"modern"	1	82	0	2	4	18.5156687630813	2150.15668763081
"263"	45	34	"modern"	0	306	1	3	11	16.5585062995673	1745.58506299567
"264"	51	12	"modern"	0	364	0	7	24	23.6961987634737	1471.96198763474
"265"	54	12	"modern"	0	86	0	4	23	21.8810278194426	1433.81027819443
"266"	52	52	"modern"	0	69	0	2	8	20.6293012686296	2271.2930126863
"267"	53	58	"modern"	0	246	1	3	21	18.1299912342555	2301.29991234256
"268"	46	18	"modern"	0	209	0	3	5	21.1025366076703	1536.0253660767
"269"	49	26	"modern"	1	29	0	1	9	17.755927301377	3192.55927301377
"270"	54	68	"modern"	0	83	1	4	2	20.4956863564595	2764.9568635646
"271"	52	46	"modern"	0	304	0	3	16	21.636121132872	2111.36121132872
"272"	52	14	"modern"	0	5	0	6	7	24.3200392885306	1678.20039288531
"273"	54	26	"modern"	0	16	0	1	18	19.9910416074409	3124.91041607441
"274"	48	40	"modern"	0	244	0	10	26	12.0193256972946	1925.19325697295
"275"	53	12	"modern"	0	195	1	1	6	20.7854354611304	2967.8543546113
"276"	47	48	"modern"	0	85	0	2	9	18.0693322052149	2055.69332205215
"277"	49	26	"modern"	0	117	1	1	5	19.7001566644132	1667.00156664413
"278"	51	32	"modern"	0	104	0	7	13	21.4991803924642	1959.99180392464
"279"	52	44	"modern"	0	121	0	6	29	19.8445114549804	2013.4451145498
"280"	39	2	"modern"	1	282	0	2	7	19.907494670314	1114.07494670314
"281"	55	60	"modern"	0	52	0	1	1	23.7147263245472	2532.14726324547
"282"	52	60	"modern"	0	104	0	3	9	19.5606465431425	2440.60646543143
"283"	55	20	"modern"	0	290	1	3	26	22.1464702515866	1571.46470251587
"284"	54	0	"modern"	0	107	0	6	14	22.9536306041191	1354.53630604119
"285"	53	22	"modern"	1	167	0	2	28	19.756246724948	1582.56246724948
"286"	51	6	"modern"	1	327	1	1	20	19.018998865844	2750.18998865844
"287"	53	32	"modern"	0	349	0	2	22	16.3583422973745	1708.58342297374
"288"	50	40	"modern"	0	79	0	1	17	17.9689384829712	3314.68938482971
"289"	53	58	"modern"	0	316	1	7	28	23.8791506087792	2408.79150608779
"290"	51	66	"modern"	0	23	1	5	3	19.1021120572356	2671.02112057236
"291"	53	0	"classic"	0	186	0	9	23	16.7969658523423	1267.96965852342
"292"	47	46	"modern"	0	292	0	4	22	19.4666032858048	1959.66603285805
"293"	48	66	"modern"	0	118	0	6	27	13.9024137545423	2334.02413754542
"294"	52	40	"modern"	0	248	0	2	25	22.3167563124498	1878.1675631245
"295"	46	40	"modern"	0	243	0	6	24	16.4559000651087	1829.55900065109
"296"	48	42	"modern"	0	80	0	2	3	18.7636845099074	2022.63684509907
"297"	51	10	"modern"	0	325	0	9	26	20.4140939570537	1439.14093957054
"298"	57	14	"classic"	0	174	0	1	24	20.5658843061248	1385.65884306125
"299"	53	50	"modern"	0	251	0	3	11	18.7020115971441	2232.02011597144
"300"	45	12	"modern"	1	48	0	5	15	15.9675174400148	1404.67517440015
"301"	43	50	"modern"	0	314	0	2	25	22.8758351048972	1903.75835104897
"302"	46	18	"modern"	1	321	0	5	13	17.7586267422589	1582.58626742259
"303"	46	22	"modern"	0	91	0	1	4	19.2088295020856	1517.08829502086
"304"	47	22	"modern"	0	144	0	2	16	20.4598917601678	1489.59891760168
"305"	52	24	"modern"	0	222	1	1	4	18.4264229719697	3184.2642297197
"306"	54	10	"modern"	0	341	0	3	14	17.7503782978651	1412.50378297865
"307"	51	24	"modern"	0	298	0	7	29	19.0921073941666	1615.92107394167
"308"	52	8	"modern"	1	175	0	2	22	20.9693732536838	1354.69373253684
"309"	42	34	"modern"	0	311	0	10	10	22.7572122716846	1952.57212271685
"310"	52	54	"modern"	0	221	1	5	25	19.2718059377039	2232.71805937704
"311"	53	22	"modern"	0	91	1	1	7	20.9951610420265	3159.95161042026
"312"	47	70	"modern"	0	164	0	3	14	14.2082893114917	2437.08289311492
"313"	48	32	"modern"	1	41	0	3	15	19.7193825455133	1842.19382545513
"314"	49	32	"modern"	0	243	0	3	5	20.4618669110796	1869.6186691108
"315"	48	68	"modern"	0	355	0	3	21	24.4922927793467	2449.92292779347
"316"	51	40	"modern"	0	197	0	4	30	19.2904333005797	1837.9043330058
"317"	48	58	"modern"	0	246	0	4	1	15.2749132605609	2387.74913260561
"318"	48	54	"classic"	0	180	0	3	24	16.3625516465301	2053.6255164653
"319"	47	34	"modern"	0	234	1	1	8	17.9520795559936	3239.52079555994
"320"	53	44	"modern"	0	112	0	4	9	20.0588193851996	2175.588193852
"321"	45	16	"modern"	0	179	0	7	19	24.3221585126137	1488.22158512614
"322"	54	6	"modern"	1	342	1	3	3	20.0446974105655	1580.44697410565
"323"	51	26	"modern"	0	69	1	9	16	24.0749201394246	1910.74920139425
"324"	50	50	"modern"	0	20	0	6	15	18.590069702901	2220.90069702901
"325"	51	20	"modern"	1	34	0	2	28	20.5069328885554	1510.06932888555
"326"	60	42	"modern"	0	184	1	7	3	18.3173901073729	2423.17390107373
"327"	52	44	"modern"	0	201	1	8	29	21.324122446618	2103.24122446618
"328"	55	30	"modern"	0	305	1	5	13	19.702340791561	1937.02340791561
"329"	53	32	"classic"	1	247	1	1	18	20.2319869949386	1837.31986994939
"330"	49	32	"modern"	0	32	0	5	16	20.2076880218158	1817.07688021816
"331"	44	72	"modern"	1	66	0	4	10	20.1047679527689	2646.04767952769
"332"	55	62	"modern"	0	17	0	3	16	17.2624670588077	2447.62467058808
"333"	51	34	"modern"	0	98	0	8	22	21.3024456325397	1938.0244563254
"334"	52	38	"classic"	0	213	0	3	1	15.0171606194416	2030.17160619442
"335"	52	38	"modern"	0	324	0	6	16	20.0873889542825	2025.87388954282
"336"	49	4	"modern"	0	193	0	5	21	22.5798781825577	1230.79878182558
"337"	49	20	"modern"	0	125	1	2	25	20.1640478296059	1411.64047829606
"338"	47	46	"modern"	0	157	0	5	25	21.8692422022975	1983.69242202298
"339"	40	26	"modern"	0	60	1	4	21	21.8840061480021	1468.84006148002
"340"	44	36	"modern"	0	127	0	3	23	20.130465537297	1666.30465537297
"341"	57	18	"modern"	0	146	1	2	4	21.3604981993971	1753.60498199397
"342"	41	30	"modern"	1	11	0	2	21	18.7871217114434	1562.87121711443
"343"	52	42	"modern"	0	33	1	1	3	21.3767949634708	3583.76794963471
"344"	52	22	"modern"	0	56	0	3	21	17.4331633952591	1539.33163395259
"345"	46	26	"modern"	0	77	0	2	19	22.0588687817625	1535.58868781762
"346"	54	20	"classic"	1	341	0	7	25	20.1171714054153	1741.17171405415
"347"	48	60	"modern"	0	358	0	7	20	15.7612236253519	2332.61223625352
"348"	50	40	"classic"	0	272	0	7	11	19.3825369103494	2093.82536910349
"349"	56	14	"modern"	0	129	0	3	29	24.2354901308893	1447.35490130889
"350"	48	16	"modern"	0	299	0	5	1	20.7920748165462	1632.92074816546
"351"	49	36	"modern"	0	117	0	1	3	13.9194718480199	1814.1947184802
"352"	55	46	"classic"	1	332	1	5	24	21.8532420900764	2263.53242090076
"353"	50	10	"modern"	1	281	1	9	5	23.7653032134755	1777.65303213475
"354"	48	20	"modern"	1	307	0	3	4	21.5168078253271	1730.16807825327
"355"	55	26	"modern"	0	112	0	2	21	19.7720595500996	1672.720595501
"356"	48	12	"modern"	0	82	0	5	7	16.4700383620755	1449.70038362076
"357"	56	0	"modern"	0	109	1	1	27	22.2145408926783	1092.14540892678
