"size"	"cannons"	"style"	"warnshot"	"date"	"heardof"	"decorations"	"daysfromshore"	"speed"	"treasure"
"123"	48	62	"modern"	1	94	0	1	24	16	5225
"124"	52	62	"modern"	0	194	0	4	6	20	2545
"125"	44	52	"modern"	0	204	0	4	29	24	1995
"126"	48	6	"classic"	0	117	0	5	3	22	1420
"127"	49	22	"modern"	0	228	0	5	19	21	1595
"128"	54	22	"modern"	0	253	0	6	29	22	1635
"129"	48	10	"modern"	0	150	0	5	21	14	1245
"130"	51	38	"modern"	1	150	0	3	14	19	2025
"131"	48	38	"modern"	0	184	0	2	3	22	1975
"132"	47	14	"modern"	0	228	0	5	1	22	1585
"133"	53	12	"modern"	0	150	1	7	8	19	1640
"134"	48	24	"modern"	0	267	1	2	20	22	1540
"135"	55	36	"modern"	0	28	0	5	23	17	1915
"136"	52	0	"modern"	0	115	1	7	7	20	1400
"137"	49	14	"modern"	0	105	0	2	10	24	1465
"138"	52	14	"modern"	0	37	0	1	22	18	4285
"139"	50	2	"modern"	0	251	1	3	12	22	1250
"140"	52	30	"modern"	1	315	1	3	2	24	2070
"141"	48	36	"modern"	0	169	0	2	4	20	1905
"142"	41	26	"modern"	0	194	1	4	2	19	1650
"143"	51	8	"modern"	0	115	0	5	25	18	1265
"144"	53	26	"modern"	0	196	0	4	13	16	1735
"145"	46	32	"modern"	0	262	0	3	3	20	1825
"146"	46	10	"classic"	0	191	0	4	6	18	1360
"147"	48	28	"modern"	0	187	1	7	18	23	1800
"148"	48	42	"modern"	0	267	0	6	19	22	2015
"149"	52	36	"modern"	0	279	1	2	2	19	2010
"150"	51	24	"modern"	1	214	1	5	19	19	1770
"151"	54	20	"modern"	0	53	0	4	1	20	1795
"152"	57	28	"modern"	0	230	1	1	30	23	4650
"153"	50	24	"modern"	0	282	0	9	15	20	1805
"154"	50	30	"modern"	0	44	0	1	24	23	4595
"155"	51	12	"modern"	0	265	0	4	13	19	1445
"156"	49	44	"modern"	0	45	0	6	16	23	2115
"157"	50	32	"modern"	0	221	1	10	6	19	2090
"158"	50	60	"modern"	0	15	1	7	26	25	2420
"159"	51	88	"modern"	0	106	0	7	1	17	3155
"160"	51	24	"modern"	0	83	0	9	25	16	1685
"161"	49	32	"modern"	0	361	1	1	24	19	4590
"162"	50	38	"modern"	1	243	0	9	5	19	2275
"163"	49	52	"modern"	1	260	0	2	18	19	2195
"164"	53	16	"modern"	0	349	1	6	21	19	1560
"165"	50	26	"modern"	0	246	0	1	21	24	1555
"166"	47	46	"modern"	0	104	0	4	22	23	1995
"167"	49	28	"modern"	0	199	0	1	9	18	1635
"168"	47	12	"modern"	0	123	0	4	15	19	1345
"169"	51	46	"modern"	0	112	1	1	28	24	1920
"170"	53	46	"modern"	0	108	0	8	3	19	2385
"171"	53	62	"modern"	0	216	1	6	26	18	2420
"172"	51	30	"modern"	1	154	1	7	4	25	2160
"173"	50	12	"modern"	0	88	0	6	18	22	1465
"174"	51	48	"modern"	1	337	0	4	12	22	2305
"175"	50	42	"modern"	0	112	0	9	18	21	2145
"176"	42	16	"classic"	0	120	1	8	24	20	1375
"177"	51	36	"classic"	0	242	0	5	11	12	1900
"178"	49	40	"modern"	0	305	1	5	27	26	1940
"179"	55	24	"modern"	0	320	1	3	24	18	1630
"180"	59	70	"modern"	0	235	0	1	9	20	2695
"181"	45	44	"modern"	0	238	0	4	25	18	1835
"182"	52	26	"modern"	0	294	0	8	5	19	1945
"183"	50	38	"modern"	0	122	0	9	7	23	2195
"184"	48	14	"modern"	0	173	0	2	12	20	1385
"185"	52	48	"modern"	0	238	1	3	18	20	2130
"186"	53	48	"modern"	0	310	0	5	25	18	2105
"187"	50	62	"classic"	0	197	1	5	14	20	2465
"188"	49	32	"classic"	0	239	0	5	28	27	1760
"189"	46	54	"modern"	0	110	1	1	14	18	2060
"190"	48	24	"modern"	0	208	0	5	8	22	1735
"191"	49	20	"classic"	0	128	0	10	25	21	1640
"192"	49	16	"modern"	0	5	0	4	9	20	1535
"193"	54	34	"modern"	1	347	0	1	20	21	1875
"194"	49	26	"modern"	0	160	0	1	28	21	4435
"195"	58	54	"modern"	0	181	0	4	13	24	2475
"196"	48	24	"modern"	0	243	0	6	26	19	1555
"197"	56	34	"modern"	0	229	0	1	13	23	4905
"198"	51	32	"modern"	0	257	0	6	17	18	1855
"199"	46	24	"modern"	0	357	0	3	26	20	1435
"200"	52	0	"modern"	1	61	0	4	6	23	1435
"201"	50	66	"modern"	0	101	0	2	28	21	2315
"202"	49	22	"modern"	0	328	0	3	8	24	1675
"203"	53	44	"modern"	1	246	0	2	21	23	2125
"204"	52	42	"modern"	0	125	0	4	11	27	2165
"205"	54	18	"modern"	1	82	0	3	29	21	1555
"206"	46	34	"modern"	0	165	1	2	28	21	1610
"207"	48	0	"modern"	0	277	0	2	20	21	1035
"208"	46	36	"modern"	1	186	0	1	18	22	4785
"209"	38	38	"modern"	0	116	0	1	21	16	4475
"210"	51	44	"modern"	0	159	0	3	7	18	2105
"211"	55	22	"modern"	1	323	0	1	29	21	4565
"212"	53	42	"modern"	0	234	0	3	25	22	1965
"213"	45	0	"modern"	1	225	1	6	7	21	1340
"214"	47	58	"modern"	0	145	0	6	21	16	2235
"215"	43	18	"modern"	1	78	0	8	30	21	1475
"216"	55	28	"modern"	0	340	0	1	26	17	4575
"217"	49	44	"modern"	0	162	1	5	21	24	2060
"218"	46	26	"classic"	0	72	1	9	12	19	1795
"219"	54	10	"modern"	0	150	0	4	16	27	1515
"220"	49	6	"modern"	0	214	0	8	4	18	1485
"221"	44	74	"modern"	0	249	0	1	18	21	5395
"222"	50	36	"modern"	0	207	0	2	17	19	1805
"223"	50	40	"modern"	1	301	0	1	15	25	2005
"224"	51	42	"modern"	0	92	0	2	21	17	1885
"225"	52	62	"classic"	0	21	1	9	6	14	2645
"226"	47	0	"modern"	0	82	0	6	4	17	1255
"227"	53	26	"modern"	0	296	0	6	2	18	1925
"228"	45	48	"modern"	1	348	0	8	24	19	2155
"229"	55	54	"classic"	0	297	0	8	10	25	2570
"230"	48	54	"modern"	1	336	0	4	3	24	2475
"231"	52	2	"modern"	0	165	0	1	10	18	1165
"232"	52	28	"modern"	0	114	1	2	1	19	1860
"233"	49	24	"modern"	1	364	1	1	28	22	1520
"234"	44	46	"modern"	0	47	0	1	10	19	1895
"235"	49	12	"modern"	0	134	0	2	18	23	1335
"236"	48	20	"modern"	1	227	0	2	17	18	1535
"237"	48	56	"modern"	0	41	0	1	30	15	1935
"238"	53	50	"modern"	0	203	0	3	20	20	2155
"239"	53	36	"modern"	0	28	0	1	2	21	1975
"240"	51	42	"modern"	0	9	1	1	24	18	4820
"241"	47	38	"modern"	0	164	0	3	11	17	1855
"242"	60	38	"modern"	0	340	0	6	1	20	2335
"243"	43	22	"modern"	0	309	1	4	3	20	1610
"244"	44	46	"modern"	0	150	0	3	12	18	1955
"245"	51	8	"modern"	0	292	0	1	20	21	1195
"246"	61	20	"classic"	0	9	0	5	12	20	1850
"247"	49	58	"modern"	0	267	0	6	3	22	2515
"248"	45	0	"classic"	1	135	0	2	23	19	1020
"249"	48	30	"modern"	0	176	1	2	27	18	1550
"250"	60	22	"modern"	0	42	0	4	1	20	1955
"251"	47	2	"classic"	0	228	0	10	18	21	1310
"252"	48	62	"modern"	1	289	1	8	12	20	2640
"253"	49	36	"modern"	0	139	0	4	5	22	1995
"254"	53	34	"classic"	0	108	0	1	14	22	4820
"255"	53	42	"modern"	1	143	1	1	6	25	5210
"256"	48	62	"modern"	1	33	0	2	4	18	2505
"257"	42	56	"modern"	0	149	0	7	14	20	2235
"258"	58	64	"modern"	1	15	1	1	28	19	2470
"259"	45	0	"classic"	0	330	1	1	23	19	3875
"260"	48	0	"modern"	0	44	0	2	27	18	935
"261"	51	30	"modern"	0	211	0	1	26	23	4595
"262"	52	40	"modern"	1	82	0	2	4	19	2155
"263"	45	34	"modern"	0	306	1	3	11	17	1750
"264"	51	12	"modern"	0	364	0	7	24	24	1475
"265"	54	12	"modern"	0	86	0	4	23	22	1435
"266"	52	52	"modern"	0	69	0	2	8	21	2275
"267"	53	58	"modern"	0	246	1	3	21	18	2300
"268"	46	18	"modern"	0	209	0	3	5	21	1535
"269"	49	26	"modern"	1	29	0	1	9	18	4695
"270"	54	68	"modern"	0	83	1	4	2	20	2760
"271"	52	46	"modern"	0	304	0	3	16	22	2115
"272"	52	14	"modern"	0	5	0	6	7	24	1675
"273"	54	26	"modern"	0	16	0	1	18	20	4625
"274"	48	40	"modern"	0	244	0	10	26	12	1925
"275"	53	12	"modern"	0	195	1	1	6	21	4470
"276"	47	48	"modern"	0	85	0	2	9	18	2055
"277"	49	26	"modern"	0	117	1	1	5	20	1670
"278"	51	32	"modern"	0	104	0	7	13	21	1955
"279"	52	44	"modern"	0	121	0	6	29	20	2015
"280"	39	2	"modern"	1	282	0	2	7	20	1115
"281"	55	60	"modern"	0	52	0	1	1	24	2535
"282"	52	60	"modern"	0	104	0	3	9	20	2445
"283"	55	20	"modern"	0	290	1	3	26	22	1570
"284"	54	0	"modern"	0	107	0	6	14	23	1355
"285"	53	22	"modern"	1	167	0	2	28	20	1585
"286"	51	6	"modern"	1	327	1	1	20	19	4250
"287"	53	32	"modern"	0	349	0	2	22	16	1705
"288"	50	40	"modern"	0	79	0	1	17	18	4815
"289"	53	58	"modern"	0	316	1	7	28	24	2410
"290"	51	66	"modern"	0	23	1	5	3	19	2670
"291"	53	0	"classic"	0	186	0	9	23	17	1270
"292"	47	46	"modern"	0	292	0	4	22	19	1955
"293"	48	66	"modern"	0	118	0	6	27	14	2335
"294"	52	40	"modern"	0	248	0	2	25	22	1875
"295"	46	40	"modern"	0	243	0	6	24	16	1825
"296"	48	42	"modern"	0	80	0	2	3	19	2025
"297"	51	10	"modern"	0	325	0	9	26	20	1435
"298"	57	14	"classic"	0	174	0	1	24	21	1390
"299"	53	50	"modern"	0	251	0	3	11	19	2235
"300"	45	12	"modern"	1	48	0	5	15	16	1405
"301"	43	50	"modern"	0	314	0	2	25	23	1905
"302"	46	18	"modern"	1	321	0	5	13	18	1585
"303"	46	22	"modern"	0	91	0	1	4	19	1515
"304"	47	22	"modern"	0	144	0	2	16	20	1485
"305"	52	24	"modern"	0	222	1	1	4	18	4680
"306"	54	10	"modern"	0	341	0	3	14	18	1415
"307"	51	24	"modern"	0	298	0	7	29	19	1615
"308"	52	8	"modern"	1	175	0	2	22	21	1355
"309"	42	34	"modern"	0	311	0	10	10	23	1955
"310"	52	54	"modern"	0	221	1	5	25	19	2230
"311"	53	22	"modern"	0	91	1	1	7	21	4660
"312"	47	70	"modern"	0	164	0	3	14	14	2435
"313"	48	32	"modern"	1	41	0	3	15	20	1845
"314"	49	32	"modern"	0	243	0	3	5	20	1865
"315"	48	68	"modern"	0	355	0	3	21	24	2445
"316"	51	40	"modern"	0	197	0	4	30	19	1835
"317"	48	58	"modern"	0	246	0	4	1	15	2385
"318"	48	54	"classic"	0	180	0	3	24	16	2050
"319"	47	34	"modern"	0	234	1	1	8	18	4740
"320"	53	44	"modern"	0	112	0	4	9	20	2175
"321"	45	16	"modern"	0	179	0	7	19	24	1485
"322"	54	6	"modern"	1	342	1	3	3	20	1580
"323"	51	26	"modern"	0	69	1	9	16	24	1910
"324"	50	50	"modern"	0	20	0	6	15	19	2225
"325"	51	20	"modern"	1	34	0	2	28	21	1515
"326"	60	42	"modern"	0	184	1	7	3	18	2420
"327"	52	44	"modern"	0	201	1	8	29	21	2100
"328"	55	30	"modern"	0	305	1	5	13	20	1940
"329"	53	32	"classic"	1	247	1	1	18	20	1835
"330"	49	32	"modern"	0	32	0	5	16	20	1815
"331"	44	72	"modern"	1	66	0	4	10	20	2645
"332"	55	62	"modern"	0	17	0	3	16	17	2445
"333"	51	34	"modern"	0	98	0	8	22	21	1935
"334"	52	38	"classic"	0	213	0	3	1	15	2030
"335"	52	38	"modern"	0	324	0	6	16	20	2025
"336"	49	4	"modern"	0	193	0	5	21	23	1235
"337"	49	20	"modern"	0	125	1	2	25	20	1410
"338"	47	46	"modern"	0	157	0	5	25	22	1985
"339"	40	26	"modern"	0	60	1	4	21	22	1470
"340"	44	36	"modern"	0	127	0	3	23	20	1665
"341"	57	18	"modern"	0	146	1	2	4	21	1750
"342"	41	30	"modern"	1	11	0	2	21	19	1565
"343"	52	42	"modern"	0	33	1	1	3	21	5080
"344"	52	22	"modern"	0	56	0	3	21	17	1535
"345"	46	26	"modern"	0	77	0	2	19	22	1535
"346"	54	20	"classic"	1	341	0	7	25	20	1740
"347"	48	60	"modern"	0	358	0	7	20	16	2335
"348"	50	40	"classic"	0	272	0	7	11	19	2090
"349"	56	14	"modern"	0	129	0	3	29	24	1445
"350"	48	16	"modern"	0	299	0	5	1	21	1635
"351"	49	36	"modern"	0	117	0	1	3	14	1815
"352"	55	46	"classic"	1	332	1	5	24	22	2265
"353"	50	10	"modern"	1	281	1	9	5	24	1780
"354"	48	20	"modern"	1	307	0	3	4	22	1735
"355"	55	26	"modern"	0	112	0	2	21	20	1675
"356"	48	12	"modern"	0	82	0	5	7	16	1445
"357"	56	0	"modern"	0	109	1	1	27	22	1090
"358"	49	14	"classic"	0	51	0	10	24	19	1510
"359"	52	72	"modern"	0	44	0	4	22	25	2635
"360"	39	20	"modern"	0	113	1	3	13	24	1400
"361"	44	72	"modern"	0	201	0	9	26	17	2505
"362"	63	0	"modern"	0	363	0	5	10	20	1515
"363"	53	8	"modern"	1	207	0	3	9	16	1485
"364"	55	36	"modern"	0	96	1	3	22	18	1890
"365"	51	28	"classic"	0	163	1	5	7	23	1905
"366"	50	60	"modern"	0	206	0	5	25	17	2275
"367"	39	38	"modern"	0	331	1	4	24	18	1620
"368"	50	36	"modern"	1	29	0	1	5	21	4985
"369"	48	38	"modern"	0	99	1	3	3	15	1950
"370"	56	24	"classic"	0	23	0	1	1	20	1790
"371"	48	42	"modern"	0	246	0	1	26	20	1745
"372"	56	70	"modern"	0	309	1	1	2	18	2700
"373"	53	16	"modern"	0	216	0	2	25	21	1405
"374"	53	16	"modern"	0	205	1	4	13	25	1640
"375"	47	28	"modern"	0	268	0	2	17	21	1605
"376"	42	42	"modern"	1	18	0	4	27	23	1865
"377"	52	14	"modern"	0	22	1	6	20	20	1520
"378"	52	10	"modern"	0	149	0	5	4	17	1525
"379"	44	10	"modern"	0	93	0	6	21	18	1235
"380"	50	38	"modern"	0	241	0	1	29	24	4715
"381"	49	6	"classic"	0	324	1	3	7	21	1345
"382"	50	70	"classic"	0	129	1	3	23	21	2485
"383"	47	40	"classic"	0	52	1	2	27	13	1675
"384"	49	54	"modern"	0	331	0	2	5	18	2255
"385"	45	56	"modern"	0	231	0	6	4	18	2345
"386"	54	34	"modern"	0	205	1	6	13	20	2030
"387"	48	38	"modern"	0	284	1	2	18	20	1820
"388"	47	28	"modern"	1	16	0	5	17	21	1795
"389"	53	8	"classic"	0	48	0	1	22	17	1170
"390"	50	28	"modern"	0	39	1	3	8	19	1780
"391"	48	44	"classic"	1	122	1	6	27	22	2085
"392"	55	48	"modern"	0	113	0	4	22	22	2185
"393"	54	24	"modern"	0	312	0	2	18	20	1645
"394"	45	38	"modern"	0	56	1	2	29	24	1690
"395"	48	0	"modern"	0	262	0	2	16	18	1045
"396"	54	48	"modern"	1	139	1	9	18	21	2460
"397"	43	18	"modern"	0	55	1	6	27	19	1340
"398"	46	26	"classic"	0	271	0	5	17	21	1630
"399"	45	56	"modern"	0	345	0	2	10	17	2155
"400"	45	42	"modern"	1	42	1	1	11	19	1940
"401"	45	6	"modern"	1	86	1	5	10	14	1330
"402"	49	44	"modern"	0	317	0	3	18	23	2005
"403"	56	12	"classic"	0	162	1	1	17	19	4395
"404"	46	54	"modern"	0	188	0	3	7	15	2175
"405"	46	30	"modern"	1	3	0	8	11	18	1935
"406"	54	16	"modern"	0	337	0	6	16	22	1645
"407"	42	0	"modern"	0	85	0	2	17	13	865
"408"	46	4	"modern"	0	121	0	2	5	24	1255
"409"	53	72	"modern"	0	334	0	9	4	17	2905
"410"	52	38	"modern"	0	132	0	6	2	21	2175
"411"	54	30	"modern"	0	239	0	2	17	20	1775
"412"	51	72	"modern"	0	268	1	1	28	24	2440
"413"	56	42	"modern"	0	16	0	3	28	18	1955
"414"	49	48	"modern"	1	176	1	5	1	22	2420
"415"	50	38	"modern"	0	131	0	6	6	18	2065
"416"	49	0	"modern"	0	244	0	4	24	14	1005
"417"	51	14	"modern"	0	152	0	9	2	22	1775
"418"	42	20	"modern"	1	177	0	7	14	26	1675
"419"	49	6	"modern"	1	184	0	1	17	21	4245
"420"	46	48	"modern"	0	209	0	5	21	23	2055
"421"	51	34	"modern"	0	195	0	6	21	17	1845
"422"	53	32	"modern"	0	22	0	2	3	19	1925
"423"	48	42	"modern"	0	93	1	2	24	18	1820
"424"	52	42	"modern"	0	224	1	2	30	17	1830
"425"	51	8	"modern"	0	307	1	8	1	23	1660
"426"	54	38	"modern"	0	289	1	1	28	22	1800
"427"	48	24	"modern"	0	49	0	4	17	20	1595
"428"	43	38	"modern"	0	211	0	10	17	24	1995
"429"	53	28	"modern"	1	285	0	6	30	21	1815
"430"	49	50	"modern"	0	188	0	2	21	19	2025
"431"	53	60	"classic"	0	224	1	8	26	20	2455
"432"	50	2	"modern"	1	60	1	3	3	19	1410
"433"	54	2	"modern"	1	93	0	3	27	18	1225
"434"	47	80	"modern"	0	274	0	6	30	17	2595
"435"	51	42	"classic"	0	22	0	8	15	19	2140
"436"	52	14	"modern"	0	118	0	2	12	24	1505
"437"	47	20	"modern"	1	150	0	3	27	20	1465
"438"	53	48	"modern"	1	66	0	3	29	17	2095
"439"	54	40	"classic"	1	295	0	4	27	23	2060
"440"	40	0	"classic"	0	269	0	2	19	22	890
"441"	47	2	"modern"	0	351	0	4	14	20	1165
"442"	50	16	"modern"	1	218	0	4	30	25	1495
"443"	57	44	"modern"	0	133	1	3	20	17	2100
"444"	45	86	"modern"	0	352	0	8	1	23	3085
"445"	54	28	"modern"	1	60	0	6	18	19	1935
"446"	55	48	"modern"	0	225	0	4	13	17	2225
"447"	46	36	"modern"	0	271	0	8	2	21	2075
"448"	49	20	"modern"	0	5	0	6	20	23	1595
"449"	49	74	"classic"	0	9	0	5	27	19	2530
"450"	52	14	"modern"	1	66	1	3	12	21	1620
"451"	42	22	"modern"	0	356	1	6	13	22	1570
"452"	37	20	"modern"	0	174	0	1	12	23	1255
"453"	54	18	"modern"	0	164	1	4	6	18	1700
"454"	50	12	"modern"	1	194	0	3	1	19	1615
"455"	49	0	"modern"	0	192	0	3	9	16	1145
"456"	51	46	"classic"	1	203	0	5	8	22	2330
"457"	51	34	"modern"	1	128	1	2	27	17	1780
"458"	54	4	"modern"	0	314	0	8	9	23	1545
"459"	41	68	"modern"	0	248	1	6	6	17	2490
"460"	43	6	"modern"	0	244	0	3	9	22	1205
"461"	57	0	"modern"	1	292	1	1	10	21	1370
"462"	43	26	"modern"	0	262	0	7	3	19	1755
"463"	43	30	"modern"	0	3	0	1	16	15	1455
"464"	50	34	"modern"	0	327	1	4	7	26	2010
"465"	50	56	"classic"	1	117	1	10	23	23	2535
"466"	44	38	"modern"	0	196	0	6	23	26	1855
"467"	48	42	"classic"	0	351	0	2	17	21	1900
"468"	52	84	"modern"	0	33	0	4	28	24	2805
"469"	48	46	"modern"	1	190	0	1	10	22	2105
"470"	50	12	"modern"	0	301	0	7	2	19	1625
"471"	55	50	"modern"	0	285	0	2	29	19	2065
"472"	47	26	"modern"	0	52	0	8	14	17	1735
"473"	52	40	"modern"	1	298	1	6	22	20	2120
"474"	43	6	"modern"	0	245	0	9	22	22	1255
"475"	48	0	"modern"	0	132	0	1	7	17	1065
"476"	58	6	"modern"	1	280	0	6	20	20	1565
"477"	52	58	"modern"	0	219	1	1	26	20	2160
"478"	54	48	"modern"	0	232	1	8	5	18	2430
"479"	55	54	"modern"	0	69	0	5	22	19	2305
"480"	50	18	"modern"	0	70	1	4	4	22	1680
"481"	50	52	"modern"	0	163	0	7	28	22	2195
"482"	54	46	"modern"	0	217	0	2	27	22	2015
"483"	51	4	"modern"	0	355	0	5	15	18	1285
"484"	46	34	"modern"	0	97	0	4	10	19	1815
"485"	48	60	"modern"	1	268	0	2	8	17	2415
"486"	52	42	"modern"	0	263	0	5	8	22	2175
"487"	49	22	"modern"	0	185	0	1	1	17	1585
"488"	47	42	"modern"	0	151	0	7	27	23	1955
"489"	50	12	"modern"	1	54	0	6	23	23	1525
"490"	49	24	"modern"	1	354	0	6	8	20	1865
"491"	55	38	"modern"	1	347	0	1	29	20	1875
"492"	49	24	"modern"	0	107	0	10	22	17	1715
"493"	55	42	"modern"	0	339	0	6	8	23	2275
"494"	46	26	"modern"	0	124	0	7	21	23	1675
"495"	48	46	"classic"	1	73	0	3	28	24	2030
"496"	43	8	"modern"	0	65	1	7	9	20	1360
