"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"
"18"	18	"male"	"yes"	23	"CCCC"	11	4	1	"Anicetus"	"cutlass"	2.56	0	25
"19"	19	"male"	"yes"	30	"JSSFP"	12	0	4	"Jack Sparrow"	"cutlass"	2.07	1	17
"20"	20	"female"	"yes"	37	"JSSFP"	13	7	7	"Lewis Scot"	"cutlass"	0.8	1	1
"21"	21	"female"	"no"	33	"JSSFP"	1	4	3	"Edward Low"	"sabre"	3.69	1	0
"22"	22	"female"	"yes"	27	"CCCC"	13	10	11	"Edward Low"	"cutlass"	0.01	1	0
"23"	23	"female"	"yes"	18	"CCCC"	11	7	1	"Blackbeard"	"scimitar"	4.35	1	0
"24"	24	"other"	"yes"	32	"JSSFP"	5	5	2	"Blackbeard"	"cutlass"	0.41	1	12
"25"	25	"male"	"yes"	29	"JSSFP"	9	9	0	"Jack Sparrow"	"cutlass"	0.12	1	23
"26"	26	"female"	"yes"	32	"JSSFP"	9	2	1	"Hook"	"cutlass"	0.56	1	1
"27"	27	"female"	"yes"	40	"JSSFP"	9	1	2	"Blackbeard"	"cutlass"	0.26	0	0
"28"	28	"female"	"yes"	29	"CCCC"	14	23	1	"Lewis Scot"	"cutlass"	3.03	1	2
"29"	29	"male"	"yes"	31	"CCCC"	13	16	1	"Jack Sparrow"	"cutlass"	0.36	1	13
"30"	30	"female"	"yes"	33	"JSSFP"	7	2	3	"Hook"	"cutlass"	0.39	1	0
"31"	31	"male"	"yes"	24	"CCCC"	10	1	3	"Edward Low"	"cutlass"	1.36	0	18
"32"	32	"female"	"yes"	17	"CCCC"	11	4	1	"Hook"	"cutlass"	0.45	1	1
"33"	33	"male"	"yes"	23	"CCCC"	8	14	4	"Jack Sparrow"	"cutlass"	0.04	1	19
"34"	34	"female"	"yes"	30	"JSSFP"	13	4	0	"Lewis Scot"	"cutlass"	0.96	1	1
"35"	35	"female"	"yes"	41	"JSSFP"	7	4	14	"Hook"	"cutlass"	0.88	1	0
"36"	36	"female"	"yes"	23	"CCCC"	11	33	7	"Lewis Scot"	"cutlass"	0.68	0	0
"37"	37	"female"	"yes"	25	"CCCC"	11	7	6	"Jack Sparrow"	"cutlass"	0.04	1	0
"38"	38	"female"	"yes"	34	"JSSFP"	14	16	1	"Anicetus"	"cutlass"	0.46	1	0
"39"	39	"female"	"no"	28	"JSSFP"	7	2	1	"Lewis Scot"	"banana"	2.28	0	0
"40"	40	"female"	"no"	35	"JSSFP"	5	11	1	"Anicetus"	"sabre"	3.53	1	0
"41"	41	"male"	"yes"	25	"CCCC"	10	0	2	"Jack Sparrow"	"cutlass"	0.05	0	24
"42"	42	"male"	"yes"	27	"CCCC"	17	22	3	"Anicetus"	"cutlass"	0.01	0	24
"43"	43	"male"	"yes"	17	"CCCC"	6	1	4	"Hook"	"banana"	48.01	1	20
"44"	44	"male"	"no"	24	"CCCC"	9	4	6	"Anicetus"	"sabre"	2.6	0	25
"45"	45	"male"	"yes"	26	"CCCC"	6	5	1	"Lewis Scot"	"cutlass"	0.24	1	15
"46"	46	"male"	"yes"	27	"CCCC"	14	4	3	"Anicetus"	"cutlass"	0.19	0	22
"47"	47	"other"	"yes"	26	"CCCC"	11	10	0	"Lewis Scot"	"cutlass"	1.11	1	12
"48"	48	"male"	"yes"	33	"CCCC"	8	7	9	"Jack Sparrow"	"cutlass"	1.07	1	22
"49"	49	"male"	"no"	20	"CCCC"	7	10	1	"Jack Sparrow"	"banana"	18.23	0	15
"50"	50	"female"	"yes"	26	"CCCC"	4	6	2	"Jack Sparrow"	"cutlass"	0.59	1	0
"51"	51	"male"	"yes"	21	"CCCC"	13	1	1	"Jack Sparrow"	"cutlass"	0.14	0	28
"52"	52	"male"	"yes"	22	"CCCC"	11	19	2	"Jack Sparrow"	"cutlass"	0.43	1	25
"53"	53	"male"	"yes"	19	"CCCC"	11	4	0	"Jack Sparrow"	"cutlass"	0.22	1	20
"54"	54	"female"	"no"	30	"JSSFP"	0	11	5	"Hook"	"scimitar"	1.28	1	0
"55"	55	"female"	"yes"	27	"CCCC"	9	4	7	"Blackbeard"	"cutlass"	0.03	1	1
"56"	56	"male"	"yes"	25	"CCCC"	10	9	1	"Hook"	"cutlass"	0.63	0	20
"57"	57	"female"	"yes"	40	"JSSFP"	6	0	13	"Hook"	"sabre"	0.26	0	1
"58"	58	"female"	"yes"	34	"JSSFP"	11	32	16	"Hook"	"cutlass"	1.08	1	0
"59"	59	"male"	"yes"	15	"CCCC"	13	0	0	"Jack Sparrow"	"cutlass"	0.89	0	24
"60"	60	"female"	"yes"	29	"CCCC"	12	14	1	"Hook"	"cutlass"	0.69	1	0
"61"	61	"male"	"yes"	38	"JSSFP"	8	17	8	"Hook"	"cutlass"	0.08	0	18
"62"	62	"female"	"yes"	35	"JSSFP"	10	10	2	"Jack Sparrow"	"cutlass"	0.4	0	1
"63"	63	"female"	"no"	33	"JSSFP"	8	1	6	"Hook"	"sabre"	0.88	1	0
"64"	64	"male"	"no"	26	"CCCC"	4	3	2	"Jack Sparrow"	"scimitar"	10.42	1	13
"65"	65	"female"	"yes"	31	"JSSFP"	8	1	2	"Edward Low"	"cutlass"	0.47	0	1
"66"	66	"female"	"yes"	32	"CCCC"	12	5	3	"Anicetus"	"cutlass"	0.49	0	2
"67"	67	"female"	"yes"	30	"CCCC"	7	13	1	"Edward Low"	"cutlass"	0.41	1	1
"68"	68	"other"	"yes"	29	"JSSFP"	5	3	2	"Hook"	"cutlass"	0.08	1	13
"69"	69	"male"	"yes"	24	"CCCC"	8	1	1	"Jack Sparrow"	"cutlass"	2.61	1	19
"70"	70	"male"	"yes"	22	"CCCC"	10	7	3	"Jack Sparrow"	"cutlass"	1.41	1	24
"71"	71	"female"	"yes"	23	"CCCC"	10	1	0	"Anicetus"	"sabre"	14.82	1	2
"72"	72	"male"	"yes"	22	"CCCC"	13	16	4	"Jack Sparrow"	"cutlass"	1.02	0	17
"73"	73	"female"	"yes"	30	"JSSFP"	15	16	2	"Hook"	"cutlass"	0.6	1	0
"74"	74	"male"	"no"	23	"CCCC"	10	2	2	"Jack Sparrow"	"banana"	23.89	0	22
"75"	75	"male"	"yes"	28	"CCCC"	12	6	0	"Jack Sparrow"	"cutlass"	2.09	1	26
"76"	76	"male"	"yes"	29	"CCCC"	14	11	1	"Jack Sparrow"	"cutlass"	0.25	1	18
"77"	77	"male"	"yes"	21	"CCCC"	4	2	4	"Jack Sparrow"	"cutlass"	0.33	1	22
"78"	78	"female"	"yes"	27	"CCCC"	8	9	1	"Jack Sparrow"	"scimitar"	21.23	0	2
"79"	79	"female"	"yes"	38	"JSSFP"	9	3	0	"Anicetus"	"cutlass"	0.13	1	1
"80"	80	"female"	"yes"	31	"JSSFP"	1	6	2	"Jack Sparrow"	"cutlass"	0.76	1	0
"81"	81	"female"	"yes"	35	"JSSFP"	7	9	2	"Jack Sparrow"	"cutlass"	0.21	1	0
"82"	82	"female"	"yes"	25	"CCCC"	11	1	3	"Anicetus"	"cutlass"	2	1	1
"83"	83	"male"	"yes"	24	"CCCC"	11	2	2	"Hook"	"cutlass"	0.56	1	24
"84"	84	"female"	"yes"	33	"JSSFP"	7	1	2	"Hook"	"cutlass"	0	1	0
"85"	85	"female"	"no"	39	"JSSFP"	5	3	0	"Hook"	"sabre"	0.25	1	2
"86"	86	"other"	"yes"	25	"CCCC"	9	9	3	"Blackbeard"	"cutlass"	0.37	1	17
"87"	87	"male"	"yes"	24	"CCCC"	10	9	2	"Jack Sparrow"	"cutlass"	0.61	0	18
"88"	88	"female"	"yes"	33	"JSSFP"	9	1	5	"Anicetus"	"cutlass"	0.4	1	1
"89"	89	"male"	"no"	28	"CCCC"	7	2	1	"Jack Sparrow"	"sabre"	1.25	0	21
"90"	90	"male"	"no"	30	"CCCC"	6	11	3	"Jack Sparrow"	"scimitar"	5.11	1	22
"91"	91	"male"	"yes"	28	"CCCC"	16	1	3	"Jack Sparrow"	"cutlass"	1.22	1	27
"92"	92	"female"	"no"	25	"CCCC"	4	0	0	"Jack Sparrow"	"banana"	5.6	1	0
"93"	93	"female"	"yes"	33	"JSSFP"	9	12	1	"Lewis Scot"	"scimitar"	13.96	0	0
"94"	94	"female"	"yes"	33	"JSSFP"	14	19	15	"Lewis Scot"	"cutlass"	1.52	1	0
"95"	95	"other"	"yes"	31	"JSSFP"	17	8	1	"Jack Sparrow"	"cutlass"	0.68	1	25
"96"	96	"male"	"yes"	31	"JSSFP"	14	18	12	"Jack Sparrow"	"cutlass"	0.99	1	23
"97"	97	"male"	"yes"	30	"CCCC"	7	10	4	"Jack Sparrow"	"cutlass"	0.6	1	24
"98"	98	"female"	"yes"	25	"CCCC"	12	2	1	"Jack Sparrow"	"cutlass"	0.16	1	1
"99"	99	"female"	"yes"	31	"JSSFP"	9	0	0	"Lewis Scot"	"cutlass"	0.09	0	0
"100"	100	"other"	"yes"	28	"CCCC"	11	1	1	"Edward Low"	"cutlass"	0.07	0	17
"101"	101	"female"	"yes"	24	"CCCC"	8	4	6	"Hook"	"cutlass"	1.01	1	1
"102"	102	"male"	"yes"	19	"CCCC"	11	0	5	"Jack Sparrow"	"cutlass"	1.09	1	20
"103"	103	"female"	"yes"	29	"JSSFP"	9	3	3	"Hook"	"cutlass"	0.08	0	1
"104"	104	"male"	"no"	21	"CCCC"	5	0	5	"Jack Sparrow"	"scimitar"	3.57	0	13
"105"	105	"female"	"yes"	26	"CCCC"	5	5	3	"Lewis Scot"	"cutlass"	0.4	1	1
"106"	106	"male"	"no"	21	"CCCC"	4	1	4	"Jack Sparrow"	"scimitar"	0.8	0	13
"107"	107	"female"	"yes"	34	"JSSFP"	11	16	7	"Lewis Scot"	"cutlass"	0.04	0	0
"108"	108	"female"	"yes"	38	"JSSFP"	16	17	2	"Hook"	"cutlass"	0.85	0	0
"109"	109	"female"	"no"	27	"JSSFP"	4	16	0	"Blackbeard"	"scimitar"	2.04	1	0
"110"	110	"male"	"yes"	17	"CCCC"	14	14	0	"Jack Sparrow"	"cutlass"	0.82	0	21
"111"	111	"male"	"yes"	23	"CCCC"	15	0	1	"Jack Sparrow"	"cutlass"	0.01	1	21
"112"	112	"female"	"yes"	31	"JSSFP"	10	2	1	"Hook"	"cutlass"	0.43	0	0
"113"	113	"male"	"yes"	27	"CCCC"	12	3	11	"Jack Sparrow"	"cutlass"	0.86	1	16
"114"	114	"other"	"yes"	31	"JSSFP"	8	8	3	"Hook"	"cutlass"	3.83	1	10
"115"	115	"male"	"yes"	20	"CCCC"	11	3	3	"Lewis Scot"	"cutlass"	0.88	0	31
"116"	116	"female"	"yes"	32	"JSSFP"	11	0	3	"Edward Low"	"cutlass"	0.04	1	0
"117"	117	"female"	"yes"	27	"CCCC"	11	3	2	"Jack Sparrow"	"cutlass"	0.16	0	1
"118"	118	"male"	"yes"	24	"CCCC"	13	6	5	"Jack Sparrow"	"cutlass"	0.17	1	29
"119"	119	"male"	"no"	21	"CCCC"	8	5	0	"Anicetus"	"banana"	1.94	0	17
"120"	120	"female"	"yes"	33	"CCCC"	5	1	1	"Lewis Scot"	"sabre"	1.86	0	2
"121"	121	"male"	"yes"	33	"JSSFP"	2	10	5	"Jack Sparrow"	"cutlass"	0.01	1	9
"122"	122	"male"	"yes"	27	"CCCC"	11	0	1	"Jack Sparrow"	"cutlass"	0.4	1	24
"123"	123	"male"	"yes"	29	"JSSFP"	11	3	0	"Edward Low"	"cutlass"	0.04	0	17
"124"	124	"female"	"no"	24	"CCCC"	6	15	0	"Jack Sparrow"	"banana"	12.4	0	1
"125"	125	"female"	"yes"	34	"JSSFP"	14	1	11	"Jack Sparrow"	"cutlass"	0.51	1	2
"126"	126	"male"	"yes"	17	"CCCC"	13	1	2	"Jack Sparrow"	"banana"	91.61	1	25
"127"	127	"female"	"yes"	23	"CCCC"	10	32	1	"Lewis Scot"	"sabre"	1.26	1	1
"128"	128	"other"	"yes"	30	"JSSFP"	11	2	0	"Lewis Scot"	"cutlass"	0.24	1	16
"129"	129	"male"	"no"	26	"CCCC"	1	2	3	"Jack Sparrow"	"cutlass"	1.38	1	17
"130"	130	"male"	"yes"	24	"CCCC"	11	2	1	"Jack Sparrow"	"cutlass"	0.12	1	16
"131"	131	"male"	"yes"	27	"CCCC"	13	1	0	"Jack Sparrow"	"cutlass"	0.14	0	20
"132"	132	"female"	"yes"	40	"JSSFP"	11	1	1	"Hook"	"cutlass"	0.32	0	0
"133"	133	"male"	"no"	31	"JSSFP"	8	3	4	"Blackbeard"	"sabre"	1.87	1	24
"134"	134	"female"	"yes"	30	"CCCC"	9	6	4	"Jack Sparrow"	"cutlass"	0.87	1	1
"135"	135	"female"	"yes"	30	"JSSFP"	4	2	2	"Hook"	"cutlass"	0.15	1	2
"136"	136	"female"	"yes"	25	"CCCC"	6	5	4	"Lewis Scot"	"cutlass"	1.23	1	0
"137"	137	"female"	"yes"	33	"JSSFP"	11	2	3	"Edward Low"	"cutlass"	0.19	1	0
"138"	138	"female"	"yes"	37	"JSSFP"	6	8	2	"Hook"	"cutlass"	0.4	0	0
"139"	139	"male"	"yes"	21	"CCCC"	12	1	4	"Jack Sparrow"	"cutlass"	0.03	0	19
"140"	140	"female"	"yes"	33	"JSSFP"	16	4	2	"Blackbeard"	"sabre"	3.32	1	0
"141"	141	"male"	"yes"	25	"CCCC"	11	5	4	"Jack Sparrow"	"cutlass"	1.83	1	14
"142"	142	"male"	"yes"	19	"CCCC"	9	2	0	"Jack Sparrow"	"cutlass"	0.04	0	14
"143"	143	"female"	"yes"	34	"JSSFP"	7	0	1	"Hook"	"scimitar"	4.84	0	0
"144"	144	"male"	"no"	15	"CCCC"	8	1	0	"Jack Sparrow"	"scimitar"	3.89	1	19
"145"	145	"female"	"no"	36	"JSSFP"	6	2	11	"Blackbeard"	"sabre"	4.04	0	1
"146"	146	"female"	"yes"	22	"CCCC"	11	0	0	"Edward Low"	"cutlass"	0.81	1	0
"147"	147	"female"	"yes"	26	"CCCC"	13	6	9	"Jack Sparrow"	"cutlass"	0.53	1	0
"148"	148	"male"	"no"	28	"CCCC"	1	18	0	"Blackbeard"	"banana"	5.19	1	7
"149"	149	"female"	"yes"	30	"JSSFP"	3	12	1	"Lewis Scot"	"cutlass"	0.58	1	0
"150"	150	"male"	"yes"	32	"JSSFP"	14	6	1	"Jack Sparrow"	"cutlass"	0.14	1	19
"151"	151	"female"	"yes"	27	"CCCC"	11	6	3	"Blackbeard"	"cutlass"	0.27	1	0
"152"	152	"other"	"yes"	23	"CCCC"	9	6	2	"Lewis Scot"	"cutlass"	0.62	1	18
"153"	153	"female"	"yes"	37	"JSSFP"	11	23	0	"Blackbeard"	"banana"	0.63	1	0
"154"	154	"female"	"yes"	34	"JSSFP"	11	3	0	"Jack Sparrow"	"cutlass"	0.05	0	0
"155"	155	"male"	"yes"	20	"CCCC"	9	4	2	"Jack Sparrow"	"cutlass"	0.26	0	14
"156"	156	"other"	"yes"	29	"CCCC"	8	8	4	"Jack Sparrow"	"cutlass"	0.09	1	10
"157"	157	"male"	"yes"	24	"CCCC"	11	3	1	"Jack Sparrow"	"cutlass"	0.02	0	25
"158"	158	"female"	"yes"	27	"CCCC"	13	0	2	"Anicetus"	"cutlass"	0.08	0	0
"159"	159	"male"	"yes"	20	"CCCC"	9	8	2	"Anicetus"	"cutlass"	0.33	1	20
"160"	160	"female"	"yes"	32	"CCCC"	11	10	4	"Lewis Scot"	"cutlass"	0.11	0	1
"161"	161	"male"	"yes"	23	"CCCC"	11	10	1	"Jack Sparrow"	"cutlass"	0.47	0	28
"162"	162	"male"	"no"	24	"CCCC"	0	3	2	"Lewis Scot"	"scimitar"	3.76	1	6
"163"	163	"male"	"yes"	29	"CCCC"	9	20	3	"Jack Sparrow"	"cutlass"	0.12	1	24
"164"	164	"female"	"yes"	27	"CCCC"	9	5	4	"Anicetus"	"scimitar"	0.55	0	0
"165"	165	"male"	"yes"	26	"CCCC"	5	14	6	"Jack Sparrow"	"cutlass"	0.28	0	7
"166"	166	"male"	"yes"	30	"CCCC"	6	1	5	"Jack Sparrow"	"banana"	23.42	1	16
"167"	167	"male"	"yes"	26	"CCCC"	10	8	1	"Jack Sparrow"	"cutlass"	1.92	1	20
"168"	168	"male"	"yes"	29	"CCCC"	11	5	3	"Blackbeard"	"cutlass"	0.28	1	21
"169"	169	"male"	"yes"	20	"CCCC"	11	0	0	"Jack Sparrow"	"cutlass"	0.06	0	23
"170"	170	"male"	"yes"	28	"CCCC"	9	0	0	"Edward Low"	"cutlass"	0.3	0	20
"171"	171	"other"	"yes"	26	"CCCC"	10	2	1	"Hook"	"cutlass"	0.29	1	15
"172"	172	"male"	"yes"	27	"CCCC"	9	9	0	"Anicetus"	"cutlass"	0.03	0	13
"173"	173	"male"	"yes"	29	"CCCC"	14	1	0	"Lewis Scot"	"cutlass"	0.49	1	23
"174"	174	"male"	"yes"	29	"CCCC"	5	5	1	"Jack Sparrow"	"cutlass"	1.8	1	14
"175"	175	"female"	"yes"	32	"JSSFP"	11	3	10	"Blackbeard"	"cutlass"	0.9	0	0
"176"	176	"female"	"yes"	32	"JSSFP"	13	3	0	"Anicetus"	"cutlass"	0.02	0	2
"177"	177	"male"	"yes"	27	"CCCC"	14	3	2	"Jack Sparrow"	"cutlass"	0.12	0	20
"178"	178	"male"	"no"	28	"CCCC"	0	14	7	"Jack Sparrow"	"sabre"	1.85	1	17
"179"	179	"female"	"yes"	26	"CCCC"	10	14	0	"Lewis Scot"	"cutlass"	0.11	1	0
"180"	180	"female"	"yes"	27	"CCCC"	12	27	1	"Hook"	"cutlass"	0.12	0	0
"181"	181	"female"	"yes"	32	"JSSFP"	11	16	1	"Lewis Scot"	"cutlass"	1.02	1	0
"182"	182	"female"	"yes"	30	"CCCC"	8	6	2	"Hook"	"cutlass"	1	0	0
"183"	183	"male"	"yes"	19	"CCCC"	9	17	1	"Blackbeard"	"scimitar"	4.35	1	19
"184"	184	"female"	"no"	32	"JSSFP"	1	6	1	"Edward Low"	"banana"	2.3	1	2
"185"	185	"female"	"yes"	31	"CCCC"	11	11	1	"Anicetus"	"cutlass"	0.23	0	1
"186"	186	"female"	"no"	33	"JSSFP"	10	12	0	"Anicetus"	"banana"	2.9	1	0
"187"	187	"female"	"yes"	29	"CCCC"	7	12	1	"Lewis Scot"	"cutlass"	0.08	1	0
"188"	188	"male"	"yes"	23	"CCCC"	6	8	1	"Jack Sparrow"	"cutlass"	0.07	1	8
"189"	189	"female"	"yes"	24	"CCCC"	11	8	10	"Edward Low"	"cutlass"	0.04	0	2
"190"	190	"male"	"yes"	27	"CCCC"	9	17	0	"Edward Low"	"cutlass"	0.26	1	28
"191"	191	"female"	"yes"	35	"JSSFP"	15	18	1	"Lewis Scot"	"cutlass"	0.29	0	0
"192"	192	"female"	"yes"	31	"JSSFP"	10	19	7	"Edward Low"	"cutlass"	0.39	1	1
"193"	193	"female"	"yes"	27	"CCCC"	12	0	4	"Jack Sparrow"	"cutlass"	0.07	1	0
"194"	194	"male"	"yes"	30	"JSSFP"	13	1	6	"Blackbeard"	"cutlass"	0.13	1	21
"195"	195	"female"	"yes"	26	"CCCC"	10	4	3	"Jack Sparrow"	"cutlass"	0.98	1	1
"196"	196	"male"	"yes"	28	"CCCC"	10	1	3	"Jack Sparrow"	"cutlass"	2.29	1	29
"197"	197	"female"	"yes"	27	"CCCC"	11	5	2	"Jack Sparrow"	"cutlass"	0.01	0	0
"198"	198	"male"	"yes"	30	"JSSFP"	15	5	2	"Lewis Scot"	"cutlass"	1.04	1	32
"199"	199	"female"	"yes"	21	"CCCC"	5	3	1	"Anicetus"	"cutlass"	1.47	1	1
"200"	200	"male"	"yes"	21	"CCCC"	10	1	0	"Jack Sparrow"	"cutlass"	2.77	0	26
"201"	201	"male"	"yes"	29	"CCCC"	13	1	1	"Anicetus"	"cutlass"	0.1	0	22
"202"	202	"male"	"yes"	18	"CCCC"	6	5	6	"Jack Sparrow"	"cutlass"	1.61	1	15
"203"	203	"male"	"yes"	26	"CCCC"	6	3	1	"Jack Sparrow"	"cutlass"	0.29	0	7
"204"	204	"female"	"yes"	24	"CCCC"	15	7	0	"Blackbeard"	"cutlass"	0.77	1	0
"205"	205	"male"	"yes"	24	"CCCC"	8	5	1	"Jack Sparrow"	"cutlass"	0.89	1	21
"206"	206	"female"	"yes"	28	"CCCC"	10	0	2	"Anicetus"	"cutlass"	2.26	0	0
"207"	207	"female"	"yes"	29	"JSSFP"	11	10	1	"Anicetus"	"cutlass"	0.22	1	0
"208"	208	"male"	"yes"	21	"CCCC"	11	3	0	"Hook"	"cutlass"	0.1	1	22
"209"	209	"female"	"yes"	29	"CCCC"	12	0	13	"Blackbeard"	"cutlass"	0.62	1	0
"210"	210	"male"	"no"	24	"CCCC"	3	5	2	"Jack Sparrow"	"sabre"	1.94	1	7
"211"	211	"male"	"no"	18	"CCCC"	2	2	1	"Jack Sparrow"	"scimitar"	14.24	1	8
"212"	212	"male"	"no"	14	"CCCC"	10	17	2	"Jack Sparrow"	"banana"	19.29	0	23
"213"	213	"male"	"yes"	30	"JSSFP"	11	2	6	"Jack Sparrow"	"cutlass"	0.22	1	19
"214"	214	"male"	"yes"	28	"CCCC"	10	5	2	"Jack Sparrow"	"cutlass"	0.61	1	23
"215"	215	"male"	"yes"	22	"CCCC"	11	2	2	"Jack Sparrow"	"cutlass"	1.88	1	24
"216"	216	"female"	"yes"	26	"CCCC"	12	4	3	"Blackbeard"	"cutlass"	0.44	0	1
"217"	217	"male"	"yes"	20	"CCCC"	16	1	2	"Anicetus"	"cutlass"	0.71	1	37
"218"	218	"male"	"yes"	24	"CCCC"	13	11	2	"Jack Sparrow"	"cutlass"	1.16	1	20
"219"	219	"male"	"yes"	22	"CCCC"	13	6	1	"Jack Sparrow"	"cutlass"	0.77	0	22
"220"	220	"female"	"yes"	29	"JSSFP"	11	15	4	"Hook"	"scimitar"	1.56	1	0
"221"	221	"female"	"yes"	26	"CCCC"	16	0	4	"Blackbeard"	"cutlass"	2.09	1	0
"222"	222	"female"	"yes"	33	"JSSFP"	13	9	2	"Hook"	"cutlass"	1.16	1	1
"223"	223	"female"	"yes"	31	"JSSFP"	10	7	1	"Blackbeard"	"cutlass"	0.37	0	1
"224"	224	"female"	"yes"	28	"CCCC"	13	13	2	"Jack Sparrow"	"cutlass"	2.61	0	1
"225"	225	"male"	"yes"	39	"JSSFP"	7	0	8	"Jack Sparrow"	"cutlass"	1.04	1	18
"226"	226	"male"	"yes"	28	"CCCC"	7	14	1	"Jack Sparrow"	"cutlass"	0.03	0	19
"227"	227	"male"	"no"	26	"CCCC"	7	12	2	"Jack Sparrow"	"scimitar"	1.09	0	14
"228"	228	"male"	"yes"	15	"CCCC"	8	6	1	"Jack Sparrow"	"cutlass"	0.45	1	27
"229"	229	"female"	"yes"	29	"CCCC"	10	8	3	"Lewis Scot"	"cutlass"	1.04	0	0
"230"	230	"female"	"yes"	38	"JSSFP"	9	34	7	"Edward Low"	"cutlass"	0.33	1	0
"231"	231	"other"	"yes"	17	"CCCC"	13	2	0	"Edward Low"	"cutlass"	0.13	0	24
"232"	232	"female"	"yes"	31	"JSSFP"	7	17	7	"Jack Sparrow"	"cutlass"	0.46	1	0
"233"	233	"female"	"yes"	29	"CCCC"	18	16	6	"Hook"	"cutlass"	0.19	1	0
"234"	234	"female"	"yes"	29	"CCCC"	12	5	6	"Jack Sparrow"	"cutlass"	0.48	1	0
"235"	235	"female"	"yes"	31	"JSSFP"	6	10	0	"Lewis Scot"	"cutlass"	0.12	1	0
"236"	236	"male"	"yes"	34	"JSSFP"	11	12	8	"Jack Sparrow"	"cutlass"	0.32	1	28
"237"	237	"male"	"yes"	26	"CCCC"	11	11	2	"Blackbeard"	"cutlass"	0.88	1	25
"238"	238	"male"	"yes"	30	"CCCC"	8	4	2	"Jack Sparrow"	"cutlass"	0.57	0	19
"239"	239	"male"	"no"	20	"CCCC"	7	7	2	"Jack Sparrow"	"banana"	21.95	1	23
"240"	240	"male"	"yes"	25	"CCCC"	8	6	1	"Jack Sparrow"	"cutlass"	0.33	0	27
"241"	241	"female"	"yes"	18	"CCCC"	11	8	1	"Jack Sparrow"	"cutlass"	0.85	1	0
"242"	242	"other"	"yes"	31	"JSSFP"	17	4	13	"Blackbeard"	"cutlass"	0.36	1	29
"243"	243	"male"	"yes"	28	"CCCC"	12	4	5	"Jack Sparrow"	"sabre"	2.76	1	19
"244"	244	"female"	"yes"	29	"JSSFP"	13	6	1	"Anicetus"	"sabre"	1.7	0	1
"245"	245	"male"	"yes"	26	"CCCC"	13	0	1	"Jack Sparrow"	"cutlass"	0.83	1	12
"246"	246	"male"	"yes"	27	"CCCC"	7	2	0	"Jack Sparrow"	"cutlass"	0.99	1	17
"247"	247	"female"	"yes"	38	"JSSFP"	11	0	4	"Blackbeard"	"cutlass"	0.03	0	0
"248"	248	"male"	"yes"	25	"CCCC"	11	0	3	"Hook"	"cutlass"	0.85	0	17
"249"	249	"male"	"yes"	22	"CCCC"	6	7	2	"Jack Sparrow"	"cutlass"	0.2	0	15
"250"	250	"female"	"yes"	25	"CCCC"	8	1	2	"Anicetus"	"cutlass"	1.54	0	0
"251"	251	"female"	"yes"	28	"CCCC"	13	11	4	"Hook"	"cutlass"	0.02	0	1
"252"	252	"female"	"yes"	32	"JSSFP"	11	0	14	"Anicetus"	"cutlass"	0.16	0	2
"253"	253	"female"	"yes"	32	"JSSFP"	14	18	0	"Anicetus"	"cutlass"	0.36	1	1
"254"	254	"female"	"no"	37	"JSSFP"	4	9	3	"Lewis Scot"	"scimitar"	0.67	1	1
