"movie7653.name"	"total.boxoffice.earnings"	"dvd.earnings.in.us.639c"	"total.movie.budget"	"rating.GPGPG13RNC17"	"genreX8423"	"TIME"	"year.of.release"	"sequel"
"70"	"Captain America: The Winter Soldier"	713846958	23847984	1.7e+08	"PG-13"	"Action"	"135"	2014	"1"
"71"	"The Hunger Games: Mockingjay - Part 1"	709635885	25850495	1.25e+08	"PG13"	"Thriller/Suspense"	"123"	2014	"1"
"72"	"The Amazing Spider-Man 2"	708996336	20665865	2e+08	"13"	"Action"	"141"	2013	"1"
"73"	"Transformers"	708098205	294777883	1.51e+08	"PG13"	"Action"	"142"	2007	"0"
"74"	"The Twilight Saga: Eclipse"	706102828	180844144	6.8e+07	"13"	"Drama"	"124"	2010	"1"
"75"	"Dawn of the Planet of the Apes"	703545589	22513267	1.7e+08	"PG-13"	"Adventure"	"130"	2014	"1"
"76"	"Mission: Impossible - Rogue Nation"	700176820	NA	1.5e+08	"PG13"	"Action"	"131"	2015	"1"
"77"	"Mission: Impossible - Ghost Protocol"	694713230	24267639	1.45e+08	"PG-13"	"Action"	"132"	2011	"1"
"78"	"The Twilight Saga: Breaking Dawn, Part 1"	689420051	110861116	127500000	"PG13"	"Drama"	"117"	2011	"1"
"79"	"The Twilight Saga: New Moon"	687557727	203594975	5e+07	"PG-13"	"Drama"	"130"	2009	"1"
"80"	"Forrest Gump"	679857164	NA	5.5e+07	"PG13"	"Drama"	"142"	1994	"0"
"81"	"The Hunger Games"	677923379	150367192	8e+07	"PG13"	"Thriller/Suspense"	"142"	2011	"0"
"82"	"The Sixth Sense"	672806292	NA	4e+07	"PG-13"	"Thriller/Suspense"	"-93"	1999	"0"
"83"	"Man of Steel"	667999518	42007429	2.25e+08	"PG-13"	"Action"	"142"	2012	"1"
"84"	"Interstellar"	665417894	11805579	1.65e+08	"PG13"	"Adventure"	"165"	2014	"0"
"85"	"Kung Fu Panda 2"	664837547	37689848	1.5e+08	"PG"	"Adventure"	"90"	2011	"y"
"86"	"Men in Black 3"	654213485	31350063	2.15e+08	"13"	"Adventure"	"104"	2011	"1"
"87"	"Big Hero 6"	652127828	38739577	1.65e+08	"PG"	"Adventure"	"108"	2014	"0"
"88"	"Ice Age: The Meltdown"	651899282	135244953	7.5e+07	"PG"	"Adventure"	"91"	2006	"1"
"89"	"Star Wars Ep. II: Attack of the Clones"	648200000	NA	1.15e+08	"PG"	"Adventure"	"143"	2002	"1"
"90"	"Pirates of the Caribbean: The Curse of the Black Pearl"	634954103	NA	1.25e+08	"PG13"	"Adventure"	"144"	2003	"0"
"91"	"Thor: The Dark World"	633360018	32176344	1.5e+08	"13"	"Adventure"	"111"	2013	"1"
"92"	"Kung Fu Panda"	631910531	145147543	1.3e+08	"PG"	"Adventure"	"91"	2008	"0"
"93"	"Fast Five"	629969804	40238100	1.25e+08	"13"	"Action"	"130"	2011	"1"
"94"	"Ratatouille"	626549695	189382771	1.5e+08	"General"	"Comedy"	"110"	2007	"0"
"95"	"Hancock"	624234272	99937738	1.5e+08	"PG-13"	"Action"	"92"	2008	"0"
"96"	"Iron Man 2"	623256345	122727783	1.7e+08	"PG13"	"Adventure"	"125"	2010	"1"
"97"	"The Passion of the Christ"	622420667	6150298	2.5e+07	"R"	"Drama"	"127"	2004	"0"
"98"	"The Lost World: Jurassic Park"	618626844	NA	7.5e+07	"13"	"Action"	"134"	1997	"0"
"99"	"How to Train Your Dragon 2"	616102924	33076866	1.45e+08	"PG"	"Adventure"	"102"	2013	"1"
"100"	"The Incredibles"	614726752	NA	9.2e+07	"PG"	"Adventure"	"115"	2004	"0"
"101"	"Life of Pi"	607987022	23078954	1.2e+08	"PG"	"Drama"	"125"	2011	"0"
"102"	"War of the Worlds"	606836535	NA	1.32e+08	"PG13"	"Action"	"116"	2005	"n"
"103"	"Mamma Mia!"	602133452	146986199	5.2e+07	"PG13"	"Musical"	"108"	2008	"0"
"104"	"Madagascar: Escape 2 Africa"	599516844	113276615	1.5e+08	"PG"	"Comedy"	"89"	2008	"1"
"105"	"Casino Royale"	594275385	208967751	1.02e+08	"13"	"Action"	"720"	2006	"1"
"106"	"Quantum of Solace"	591692078	52895868	2.3e+08	"PG-13"	"Action"	"106"	2008	"1"
"107"	"Men in Black"	587247615	NA	9e+07	"PG13"	"Adventure"	"98"	1997	"0"
"108"	"Tangled"	586581936	152962689	2.6e+08	"PG"	"Adventure"	"101"	2010	"0"
"109"	"The Hangover Part II"	586464305	45778776	8e+07	"R"	"Comedy"	"102"	2011	"1"
"110"	"I am Legend"	585532684	141223359	1.5e+08	"13"	"Horror"	"100"	2007	"0"
"111"	"Iron Man"	582443126	181923170	1.86e+08	"PG-13"	"Action"	"126"	2008	"0"
"112"	"Night at the Museum"	581570293	153560084	1.1e+08	"PG"	"Comedy"	"108"	2006	"0"
"113"	"The Croods"	573068425	46229339	1.35e+08	"PG"	"Adventure"	"98"	2012	"0"
"114"	"Star Wars Ep. VI: Return of the Jedi"	572625409	18335150	32500000	"PG"	"Adventure"	"133"	1983	"1"
"115"	"Fifty Shades of Grey"	570455257	22319566	4e+07	"R"	"Drama"	"125"	2013	"0"
"116"	"The Smurfs"	563749323	39234618	1.1e+08	"PG"	"Adventure"	"-12"	2011	"0"
"117"	"Cars 2"	560155383	99191437	2e+08	"G"	"Adventure"	"107"	2011	"1"
"118"	"Monsters, Inc."	559757719	NA	1.15e+08	"G"	"Adventure"	"92"	2001	"0"
"119"	"The Day After Tomorrow"	556319450	NA	1.25e+08	"13"	"Adventure"	"123"	2004	"0"
"120"	"Madagascar"	556130620	NA	7.5e+07	"PG"	"Adventure"	"86"	2005	"0"
"121"	"Ted"	556016627	82385535	5e+07	"R"	"Comedy"	"106"	2011	"0"
"122"	"Puss in Boots"	554987477	48688059	1.3e+08	"PG"	"Adventure"	"90"	2011	"0"
"123"	"Brave"	554606532	124440689	1.85e+08	"PG"	"Adventure"	"93"	2012	"0"
"124"	"Armageddon"	554595209	NA	1.4e+08	"PG13"	"Adventure"	"150"	1998	"0"
"125"	"King Kong"	550517357	191419044	2.07e+08	"PG-13"	"Adventure"	"189"	2005	"0"
"126"	"Mission: Impossible 2"	549588516	NA	1.2e+08	"PG-13"	"Action"	"126"	2000	"1"
"127"	"American Sniper"	547326372	28658096	5.8e+07	"R"	"Drama"	"132"	2015	"0"
"128"	"Despicable Me"	543495033	192130440	6.9e+07	"PG"	"Comedy"	"95"	2010	"0"
"129"	"Sherlock Holmes: A Game of Shadows"	535663443	53202951	1.25e+08	"PG13"	"Action"	"129"	2011	"1"
"130"	"Cinderella"	534551353	7403498	9.5e+07	"PG"	"Drama"	"105"	2014	"0"
"131"	"Star Wars Ep. V: The Empire Strikes Back"	534058751	19822501	2.3e+07	"PG"	"Adventure"	"124"	1980	"1"
"132"	"WALL-E"	532590994	195250036	1.8e+08	"G"	"Adventure"	"100"	2008	"0"
"133"	"World War Z"	531514650	21987314	1.9e+08	"PG-13"	"Action"	"115"	2011	"0"
"134"	"Godzilla"	529072193	16634145	1.6e+08	"PG-13"	"Action"	"123"	2014	"0"
"135"	"The Simpsons Movie"	527071022	97510246	72500000	"13"	"Comedy"	"86"	2007	"0"
"136"	"Meet the Fockers"	516567575	NA	6e+07	"PG-13"	"ROMANTIC COMEDY"	"114"	2004	"1"
"137"	"Terminator 2: Judgment Day"	513815401	NA	1e+08	"R"	"Action"	"136"	1991	"1"
"138"	"Toy Story 2"	511329494	NA	9e+07	"G"	"Adventure"	"92"	1999	"1"
"139"	"Ghost"	506112351	NA	2.2e+07	"13"	"Drama"	"127"	1990	"0"
"140"	"Sherlock Holmes"	498438212	59084820	9e+07	"13"	"Adventure"	"133"	2009	"0"
"141"	"Twister"	495700000	NA	8.8e+07	"PG13"	"Action"	"114"	1996	"0"
"142"	"Aladdin"	495277270	NA	2.8e+07	"G"	"Comedy"	"90"	1992	"0"
"143"	"How to Train Your Dragon"	494870991	140577413	1.65e+08	"PG"	"Adventure"	"91"	2010	"0"
"144"	"Rio 2"	493738435	27384685	1.3e+08	"General"	"Adventure"	"101"	2014	"1"
"145"	"Clash of the Titans"	493214888	31249395	1.25e+08	"PG13"	"Action"	"106"	2010	"0"
"146"	"Shrek"	491812794	NA	5e+07	"PG"	"Adventure"	"90"	2001	"0"
"147"	"Angels & Demons"	490875846	36244724	1.5e+08	"PG-13"	"Thriller/Suspense"	"138"	2009	"1"
"148"	"Oz the Great and Powerful"	489570996	27552659	2e+08	"PG"	"Adventure"	"130"	2011	"0"
"149"	"Rio"	487519809	67290836	9e+07	"PG"	"Adventure"	"96"	2011	"0"
"150"	"Mr. and Mrs. Smith"	486124090	NA	1.1e+08	"PG-13"	"Action"	"120"	2005	"0"
"151"	"Teenage Mutant Ninja Turtles"	485004754	32775904	1.25e+08	"13"	"Adventure"	"101"	2014	"0"
"152"	"Saving Private Ryan"	484819491	NA	6.5e+07	"R"	"Drama"	"169"	1998	"0"
"153"	"Troy"	484161265	NA	1.5e+08	"R"	"Action"	"162"	2004	"0"
"154"	"Bruce Almighty"	483473962	NA	8.1e+07	"PG-13"	"Comedy"	"102"	2003	"0"
"155"	"Rise of the Planet of the Apes"	482860185	43496184	9.3e+07	"PG-13"	"Adventure"	"120"	2011	"0"
"156"	"Charlie and the Chocolate Factory"	475825484	NA	1.5e+08	"PG"	"Comedy"	"115"	2005	"0"
"157"	"Wreck-It Ralph"	473412677	61085079	1.65e+08	"PG"	"Adventure"	"101"	2012	"0"
"158"	"Indiana Jones and the Last Crusade"	472705225	23207690	4.8e+07	"PG13"	"Adventure"	"127"	1989	"1"
"159"	"Jaws"	470700000	3011191	1.2e+07	"PG"	"Horror"	"124"	1975	"0"
"160"	"San Andreas"	469590832	NA	1.1e+08	"PG-13"	"Adventure"	"114"	2015	"0"
"161"	"Home Alone"	468427450	NA	1.5e+07	"PG"	"Comedy"	"103"	1990	"0"
"162"	"Star Trek Into Darkness"	466978661	26072389	1.9e+08	"PG-13"	"Adventure"	"132"	2012	"1"
"163"	"The Hangover"	465764086	199312736	3.5e+07	"R"	"Comedy"	"100"	2009	"0"
"164"	"The Matrix"	463420706	NA	6.5e+07	"R"	"Action"	"136"	1999	"0"
"165"	"Cars"	461651246	306928704	7e+07	"g"	"Comedy"	"116"	2006	"0"
"166"	"X-Men: The Last Stand"	459359555	144786666	2.1e+08	"PG-13"	"Action"	"104"	2006	"1"
"167"	"The Lego Movie"	457729388	49949697	6e+07	"PG"	"Adventure"	"110"	2013	"0"
"168"	"Gladiator"	457683805	NA	1.03e+08	"R"	"Action"	"154"	2000	"0"
"169"	"Mission: Impossible"	457607112	NA	8e+07	"13"	"Action"	"111"	1996	"0"
"170"	"National Treasure 2: Book of Secrets"	457325804	102803548	9.65e+23	"PG"	"Adventure"	"124"	2007	"1"
"171"	"The Last Samurai"	456810575	NA	1.4e+08	"R"	"Action"	"154"	2003	"0"
"172"	"Ant-Man"	454653293	NA	1.3e+08	"PG-13"	"Action"	"117"	2015	"0"
"173"	"300"	454139586	276406735	6e+07	"R"	"Action"	"115"	2007	"0"
"174"	"Beauty and the Beast"	451421625	100240398	2e+07	"General"	"Musical"	"85"	1991	"0"
"175"	"Ocean's Eleven"	450728529	NA	8.5e+07	"PG-13"	"Thriller/Suspense"	"116"	2001	"0"
"176"	"Lucy"	450573960	13155588	4e+07	"R"	"Action"	"88"	2014	"0"
"177"	"Thor"	449326618	39865628	1.5e+08	"PG13"	"Action"	"113"	2011	"0"
"178"	"Pearl Harbor"	449239855	NA	151500000	"13"	"Action"	"182"	2001	"0"
"179"	"Tarzan"	448191819	NA	1.45e+08	"G"	"Adventure"	"88"	1999	"0"
"180"	"Alvin and the Chipmunks: The Squeakquel"	443483213	75540253	7e+07	"PG"	"Comedy"	"89"	2009	"1"
"181"	"Les Miserables"	442169052	39267160	6.5e+07	"PG-13"	"Musical"	"158"	2012	"0"
"182"	"The Bourne Ultimatum"	442161562	126875773	1.3e+08	"13"	"Thriller/Suspense"	"113"	2007	"1"
"183"	"Men in Black 2"	441767803	NA	1.4e+08	"13"	"Action"	"86"	2002	"1"
"184"	"Mrs. Doubtfire"	440783653	NA	2.5e+07	"PG-13"	"Comedy"	"125"	1993	"0"
"185"	"Terminator: Genisys"	440160956	NA	1.55e+08	"PG13"	"Action"	"126"	2015	"1"
"186"	"The Mummy Returns"	435040395	NA	9.8e+07	"PG-13"	"Adventure"	"129"	2001	"1"
"187"	"Terminator 3: Rise of the Machines"	433058296	NA	1.7e+08	"R"	"Action"	"109"	2003	"1"
"188"	"Die Another Day"	431932247	NA	1.42e+08	"PG-13"	"Action"	"133"	2002	"1"
"189"	"The King’s Speech"	430821168	40949215	1.5e+07	"R"	"Drama"	"118"	2010	"0"
"190"	"Pretty Woman"	429359276	NA	1.4e+07	"R"	"Romantic Comedy"	"119"	1990	"0"
"191"	"The Matrix Revolutions"	427289109	NA	1.5e+08	"R"	"Action"	"129"	2003	"1"
"192"	"Cast Away"	427230516	NA	8.5e+07	"PG13"	"Drama"	"143"	2000	"0"
"193"	"Les Intouchables"	426480871	4829200	0	"R"	"Comedy"	"110"	2011	"0"
"194"	"Django Unchained"	425373688	32336938	1e+08	"R"	"Western"	"165"	2011	"0"
"195"	"The Chronicles of Narnia: The Voyage of the Dawn Treader"	418186950	35306494	1.55e+08	"PG"	"Adventure"	"115"	2010	"1"
"196"	"The Chronicles of Narnia: Prince Caspian"	417341288	99094588	2.25e+08	"PG"	"Adventure"	"144"	2008	"1"
"197"	"The Wolverine"	416456852	36969559	1.15e+08	"13"	"Action"	"126"	2013	"1"
"198"	"The Mummy"	416247825	NA	8e+07	"PG13"	"Adventure"	"125"	1999	"0"
"199"	"Dances with Wolves"	415285106	NA	1.9e+07	"13"	"Western"	"181"	1990	"0"
"200"	"Sex and the City"	415247258	95913839	57500000	"R"	"Comedy"	"145"	2008	"0"
"201"	"Pacific Rim"	411002906	21338877	1.9e+08	"PG13"	"Action"	"131"	2013	"0"
"202"	"Batman"	409132777	NA	3.5e+07	"13"	"Action"	"121"	1989	"0"
"203"	"Signs"	408265690	NA	70702619	"PG13"	"Thriller/Suspense"	"106"	2002	"0"
"204"	"Rain Man"	408080878	NA	2.5e+07	"R"	"Comedy"	"133"	1988	"0"
"205"	"X2"	407711549	NA	1.25e+08	"PG13"	"Action"	"135"	2003	"1"
"206"	"The Mummy: Tomb of the Dragon Emperor"	405545959	45630812	1.75e+08	"PG13"	"Adventure"	"111"	2008	"1"
"207"	"Kingsman: The Secret Service"	404561724	13964690	0	"R"	"Action"	"129"	2014	"0"
"208"	"The Exorcist"	402735134	NA	1.2e+07	"R"	"Horror"	"121"	1973	"0"
"209"	"Twilight"	402280159	238020714	3.7e+07	"PG-13"	"Drama"	"121"	2008	"0"
"210"	"Night at the Museum: Battle of the Smithsonian"	402231063	51528433	1.5e+08	"PG"	"Comedy"	"105"	2009	"1"
"211"	"Snow White and the Huntsman"	401016924	31469378	1.7e+08	"13"	"Adventure"	"127"	2011	"0"
"212"	"The Bodyguard"	400588566	NA	2.5e+07	"R"	"Thriller/Suspense"	"129"	1992	"0"
"213"	"Prometheus"	399005706	18486137	1.25e+08	"R"	"Adventure"	"124"	2011	"0"
"214"	"Tron: Legacy"	397562763	26981621	2e+08	"PG"	"Adventure"	"125"	2010	"1"
"215"	"Mission: Impossible III"	397501348	49918230	1.5e+08	"PG13"	"Action"	"126"	2006	"1"
"216"	"The Wolf of Wall Street"	391976723	16909786	1e+08	"R"	"Black Comedy"	"165"	2011	"0"
"217"	"Gone with the Wind"	390525192	NA	3900000	"General"	"Drama"	"220"	1939	"0"
"218"	"Robin Hood: Prince of Thieves"	390366200	NA	5e+07	"13"	"Adventure"	"143"	1991	"0"
"219"	"Raiders of the Lost Ark"	389925971	23139994	2e+07	"PG"	"Adventure"	"515"	1981	"0"
"220"	"Grease"	387513770	22682771	6e+06	"PG"	"Musical"	"110"	1978	"0"
"221"	"Ice Age"	386116343	NA	6.5e+07	"PG"	"Adventure"	"81"	2002	"0"
"222"	"Home"	386085953	24783835	1.3e+08	"PG"	"Adventure"	"94"	2014	"0"
"223"	"Star Trek"	385680446	114904661	1.4e+08	"PG13"	"Adventure"	"125"	2009	"1"
"224"	"Happy Feet"	385000317	206546318	8.5e+07	"PG"	"Adventure"	"108"	2006	"yes"
"225"	"Monster Hunt"	384752329	NA	0	"Not Rated"	"Adventure"	"118"	2015	"0"
"226"	"Slumdog Millionaire"	384519665	37985818	1.4e+07	"R"	"Drama"	"116"	2008	"0"
"227"	"Live Free or Die Hard"	382288147	101012504	1.1e+08	"PG-13"	"Action"	"129"	2007	"1"
"228"	"Monsters vs. Aliens"	381687380	91113874	1.75e+08	"PG"	"Adventure"	"95"	2009	"0"
"229"	"Taken 2"	377807404	44868943	4.5e+07	"PG13"	"Thriller/Suspense"	"91"	2011	"1"
"230"	"Godzilla"	375827709	NA	1.25e+08	"PG13"	"Action"	"139"	1998	"0"
"231"	"My Big Fat Greek Wedding"	374890034	NA	5e+06	"PG"	"Romantic Comedy"	"95"	2002	"0"
"232"	"X-Men Origins: Wolverine"	374825760	85026052	1.5e+08	"13"	"Action"	"107"	2009	"0"
"233"	"What Women Want"	374105123	NA	6.5e+07	"PG-13"	"Romantic Comedy"	"126"	2000	"0"
"234"	"Superman Returns"	374085065	85596056	2.32e+08	"13"	"Adventure"	"150"	2006	"0"
"235"	"The Adventures of Tintin"	373993951	17769378	1.3e+08	"PG"	"Adventure"	"104"	2011	"0"
"236"	"Back to the Future"	373397694	5391380	1.9e+07	"PG"	"Adventure"	"116"	1985	"0"
"237"	"Mad Max: Fury Road"	373136354	12805616	1.5e+08	"R"	"Action"	"120"	2015	"1"
"238"	"G.I. Joe: Retaliation"	371923060	16537102	1.4e+08	"13"	"Action"	"110"	2012	"1"
"239"	"Shark Tale"	371917043	NA	7.5e+07	"PG"	"Adventure"	"90"	2004	"0"
"240"	"Captain America: The First Avenger"	370569776	46552665	1.4e+08	"PG-13"	"Action"	"124"	2011	"0"
"241"	"Gone Girl"	368567189	15330723	6.1e+07	"R"	"Thriller/Suspense"	"149"	2014	"0"
"242"	"Penguins of Madagascar"	367650911	9160908	1.32e+08	"PG"	"Comedy"	"92"	2014	"0"
"243"	"The Golden Compass"	367262558	41885405	2.05e+08	"PG13"	"Adventure"	NA	2007	"0"
"244"	"Hitch"	366784257	NA	5.5e+07	"PG-13"	"Romantic Comedy"	"117"	2005	"0"
"245"	"Die Hard: With a Vengeance"	366072426	NA	9e+07	"R"	"Action"	"129"	1995	"1"
"246"	"Jurassic Park III"	365900000	NA	9.3e+07	"PG13"	"Action"	"93"	2001	"1"
"247"	"Terminator Salvation"	365491792	30157379	2e+08	"13"	"Action"	"116"	2009	"1"
"248"	"True Lies"	365291539	NA	1e+08	"R"	"Action"	"141"	1994	"0"
"249"	"Edge of Tomorrow"	364406256	9812041	1.78e+08	"13"	"Action"	"136"	2011	"0"
"250"	"Toy Story"	364402211	NA	3e+07	"G"	"Adventure"	"80"	1995	"0"
"251"	"Notting Hill"	363728226	NA	4.2e+07	"13"	"Romantic Comedy"	"124"	1999	"0"
"252"	"A Bug's Life"	363089431	NA	4.5e+07	"g"	"Adventure"	"96"	1998	"0"
"253"	"Fast & Furious"	363064265	66514029	8.5e+07	"PG13"	"Action"	"107"	3528	"1"
"254"	"Ocean's Twelve"	362989076	NA	1.1e+08	"PG-13"	"Adventure"	"125"	2004	"1"
"255"	"Alvin and the Chipmunks"	362605033	138708106	5.5e+07	"PG"	"Comedy"	"91"	2007	"0"
"256"	"Planet of the Apes"	362211740	NA	1e+08	"13"	"Adventure"	"120"	2001	"0"
"257"	"The Hangover 3"	362000072	13880035	1.03e+08	"R"	"Comedy"	"100"	2013	"1"
"258"	"The World is Not Enough"	361730660	NA	1.35e+08	"13"	"Action"	"128"	1999	"1"
