"name"	"boxoffice.total"	"boxoffice.domestic"	"boxoffice.international"	"dvd.domestic"	"budget"	"rating"	"genre"	"creative.type"	"time"	"year"	"production.method"	"sequel"	"boxoffice.domestic.inflationadj"	"budget.millions"	"boxoffice.total.millions"	"revenue.d.budget"
"12"	"Transformers: Dark of the Moon"	1123790543	352390543	771400000	56576552	195000000	"PG-13"	"Action"	"Science Fiction"	154	2011	"Animation/Live Action"	1	371943105	195	1123.790543	5.76302842564103
"13"	"Skyfall"	1110526981	304360277	806166704	47624100	200000000	"PG-13"	"Action"	"Contemporary Fiction"	143	2012	"Live Action"	1	319870983	200	1110.526981	5.552634905
"14"	"Transformers: Age of Extinction"	1104039076	245439076	858600000	25336981	210000000	"PG-13"	"Action"	"Science Fiction"	165	2014	"Animation/Live Action"	1	251447372	210	1104.039076	5.25732893333333
"15"	"The Dark Knight Rises"	1084439099	448139099	636300000	71525203	275000000	"PG-13"	"Action"	"Super Hero"	164	2012	"Live Action"	1	471221634	275	1084.439099	3.94341490545455
"16"	"Toy Story 3"	1069818229	415004880	654813349	188210318	200000000	"G"	"Adventure"	"Kids Fiction"	102	2010	"Digital Animation"	1	440252324	200	1069.818229	5.349091145
"17"	"Pirates of the Caribbean: Dead Man's Chest"	1066215812	423315812	642900000	320862849	225000000	"PG-13"	"Adventure"	"Fantasy"	151	2006	"Live Action"	1	540939440	225	1066.215812	4.73873694222222
"18"	"Pirates of the Caribbean: On Stranger Tides"	1045663875	241063875	804600000	30431582	250000000	"PG-13"	"Adventure"	"Fantasy"	136	2011	"Live Action"	1	254439421	250	1045.663875	4.1826555
"19"	"Jurassic Park"	1038812584	395708305	643104279	NA	63000000	"PG-13"	"Action"	"Science Fiction"	126	1993	"Animation/Live Action"	0	755387687	63	1038.812584	16.4890886349206
"20"	"Star Wars Ep. I: The Phantom Menace"	1027044677	474544677	552500000	NA	115000000	"PG"	"Adventure"	"Science Fiction"	133	1999	"Animation/Live Action"	1	755899504	115	1027.044677	8.93082327826087
"21"	"Alice in Wonderland"	1025491110	334191110	691300000	82297116	200000000	"PG"	"Adventure"	"Fantasy"	108	2010	"Animation/Live Action"	0	354522122	200	1025.49111	5.12745555
"22"	"The Hobbit: An Unexpected Journey"	1017003568	303003568	714000000	34191124	250000000	"PG-13"	"Adventure"	"Fantasy"	169	2012	"Animation/Live Action"	1	317749322	250	1017.003568	4.068014272
"23"	"The Dark Knight"	1002891358	533345358	469546000	282134660	185000000	"PG-13"	"Action"	"Super Hero"	152	2008	"Live Action"	1	621624466	185	1002.891358	5.42103436756757
"24"	"The Lion King"	987480140	422780140	564700000	86246006	79300000	"G"	"Adventure"	"Kids Fiction"	87	1994	"Hand Animation"	0	756219975	79.3	987.48014	12.4524607818411
"25"	"Despicable Me 2"	974873764	368065385	606808379	124381409	76000000	"PG"	"Comedy"	"Kids Fiction"	98	2013	"Digital Animation"	1	378930222	76	974.873764	12.8272863684211
"26"	"Harry Potter and the Sorcerer’s Stone"	974755371	317575550	657179821	NA	125000000	"PG"	"Adventure"	"Fantasy"	152	2001	"Animation/Live Action"	0	468612897	125	974.755371	7.798042968
"27"	"Pirates of the Caribbean: At World's End"	963420425	309420425	654000000	312228146	300000000	"PG-13"	"Adventure"	"Historical Fiction"	167	2007	"Live Action"	1	376431535	300	963.420425	3.21140141666667
"28"	"The Hobbit: The Desolation of Smaug"	960366855	258366855	702000000	40247146	250000000	"PG-13"	"Adventure"	"Fantasy"	201	2013	"Animation/Live Action"	1	265846191	250	960.366855	3.84146742
"29"	"Harry Potter and the Deathly Hallows: Part I"	959301070	295001070	664300000	94385569	125000000	"PG-13"	"Adventure"	"Fantasy"	146	2010	"Animation/Live Action"	1	312886528	125	959.30107	7.67440856
"30"	"The Hobbit: The Battle of the Five Armies"	955119788	255119788	700000000	22439417	250000000	"PG-13"	"Adventure"	"Fantasy"	144	2014	"Live Action"	1	260520067	250	955.119788	3.820479152
"31"	"Harry Potter and the Order of the Phoenix"	942943935	292004738	650939197	250892902	150000000	"PG-13"	"Adventure"	"Fantasy"	138	2007	"Animation/Live Action"	1	355244135	150	942.943935	6.2862929
"32"	"Finding Nemo"	936429370	380529370	555900000	NA	94000000	"G"	"Adventure"	"Kids Fiction"	100	2003	"Digital Animation"	0	514460669	94	936.42937	9.96201457446808
"33"	"Harry Potter and the Half-Blood Prince"	935083686	301959197	633124489	144482964	250000000	"PG"	"Adventure"	"Fantasy"	153	2009	"Animation/Live Action"	1	336986462	250	935.083686	3.740334744
"34"	"The Lord of the Rings: The Two Towers"	934703179	342548984	592154195	NA	94000000	"PG-13"	"Adventure"	"Fantasy"	179	2002	"Animation/Live Action"	1	486871693	94	934.703179	9.94365084042553
"35"	"Shrek 2"	932252921	436471036	495781885	NA	70000000	"PG"	"Adventure"	"Kids Fiction"	92	2004	"Digital Animation"	1	588287049	70	932.252921	13.3178988714286
"36"	"Harry Potter and the Goblet of Fire"	896911078	290013036	606898042	540396685	150000000	"PG-13"	"Adventure"	"Fantasy"	150	2005	"Animation/Live Action"	1	378306289	150	896.911078	5.97940718666667
"37"	"Spider-Man 3"	890875303	336530303	554345000	125012910	258000000	"PG-13"	"Adventure"	"Super Hero"	139	2007	"Live Action"	1	409412591	258	890.875303	3.4530050503876
"38"	"The Lord of the Rings: The Fellowship of the Ring"	887217688	315544750	571672938	NA	109000000	"PG-13"	"Adventure"	"Fantasy"	179	2001	"Animation/Live Action"	0	460545280	109	887.217688	8.13961181651376
"39"	"Ice Age: Continental Drift"	879765137	161321843	718443294	42909929	95000000	"PG"	"Adventure"	"Fantasy"	87	2012	"Digital Animation"	1	169628538	95	879.765137	9.26068565263158
"40"	"Harry Potter and the Chamber of Secrets"	878979634	261987880	616991754	NA	100000000	"PG"	"Adventure"	"Fantasy"	161	2002	"Animation/Live Action"	1	376584346	100	878.979634	8.78979634
"41"	"The Hunger Games: Catching Fire"	864868047	424668047	440200000	59695947	130000000	"PG-13"	"Adventure"	"Science Fiction"	146	2013	"Live Action"	1	437116010	130	864.868047	6.65283113076923
"42"	"Ice Age: Dawn of the Dinosaurs"	859701857	196573705	663128152	104078282	90000000	"PG"	"Adventure"	"Kids Fiction"	93	2009	"Digital Animation"	1	219376252	90	859.701857	9.55224285555555
"43"	"Star Wars Ep. III: Revenge of the Sith"	848998877	380270577	468728300	NA	115000000	"PG-13"	"Adventure"	"Science Fiction"	139	2005	"Animation/Live Action"	1	496536289	115	848.998877	7.38259893043478
"44"	"Transformers: Revenge of the Fallen"	836519699	402111870	434407829	221996361	210000000	"PG-13"	"Action"	"Science Fiction"	149	2009	"Animation/Live Action"	1	448756847	210	836.519699	3.98342713809524
"45"	"Inception"	832584416	292576195	540008221	86223190	160000000	"PG-13"	"Thriller/Suspense"	"Science Fiction"	147	2010	"Animation/Live Action"	0	310375461	160	832.584416	5.2036526
"46"	"Inside Out"	831635066	354935066	476700000	NA	0	"PG"	"Adventure"	"Kids Fiction"	95	2015	"Digital Animation"	0	354935066	0	831.635066	Inf
"47"	"The Twilight Saga: Breaking Dawn, Part 2"	829724737	292324737	537400000	76337759	136200000	"PG-13"	"Drama"	"Fantasy"	115	2012	"Live Action"	1	307311480	136.2	829.724737	6.09195842143906
"48"	"Spider-Man"	821706375	403706375	418000000	NA	139000000	"PG-13"	"Adventure"	"Super Hero"	121	2002	"Live Action"	0	581587324	139	821.706375	5.91155665467626
"49"	"Independence Day"	817355682	306124059	511231623	NA	75000000	"PG-13"	"Adventure"	"Science Fiction"	145	1996	"Live Action"	0	579696466	75	817.355682	10.89807576
"50"	"Shrek the Third"	805623351	321012359	484610992	176566326	160000000	"PG"	"Adventure"	"Kids Fiction"	92	2007	"Digital Animation"	1	390533930	160	805.623351	5.03514594375
"51"	"Harry Potter and the Prisoner of Azkaban"	796688549	249538952	547149597	NA	130000000	"PG"	"Adventure"	"Fantasy"	141	2004	"Animation/Live Action"	1	336295292	130	796.688549	6.12837345384615
"52"	"ET: The Extra-Terrestrial"	792804231	434949459	357854772	NA	10500000	"PG"	"Drama"	"Kids Fiction"	114	1982	"Live Action"	0	1124651941	10.5	792.804231	75.5051648571429
"53"	"Fast and Furious 6"	789952811	238679850	551272961	55233647	160000000	"PG-13"	"Action"	"Contemporary Fiction"	130	2012	"Live Action"	1	245725749	160	789.952811	4.93720506875
"54"	"2012"	788408539	166112167	622296372	52100596	200000000	"PG-13"	"Action"	"Science Fiction"	158	2009	"Live Action"	0	185233884	200	788.408539	3.942042695
"55"	"Indiana Jones and the Kingdom of the Crystal Skull"	786558145	317023851	469534294	117107120	185000000	"PG-13"	"Adventure"	"Historical Fiction"	123	2008	"Live Action"	1	369656873	185	786.558145	4.25166564864865
"56"	"Star Wars Ep. IV: A New Hope"	786535665	460935665	325600000	22418062	11000000	"PG"	"Adventure"	"Science Fiction"	119	1977	"Live Action"	0	1362751062	11	786.535665	71.5032422727273
"57"	"Spider-Man 2"	783705001	373524485	410180516	31244169	200000000	"PG-13"	"Adventure"	"Super Hero"	127	2004	"Live Action"	1	503446042	200	783.705001	3.918525005
"58"	"Guardians of the Galaxy"	771172112	333172112	438000000	42704948	170000000	"PG-13"	"Adventure"	"Super Hero"	121	2014	"Live Action"	0	341325235	170	771.172112	4.53630654117647
"59"	"The Da Vinci Code"	767820459	217536138	550284321	100215702	125000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	152	2006	"Live Action"	0	277981293	125	767.820459	6.142563672
"60"	"Maleficent"	758407328	241407328	517000000	35414055	180000000	"PG"	"Adventure"	"Fantasy"	97	2013	"Live Action"	0	247316927	180	758.407328	4.21337404444444
"61"	"The Amazing Spider-Man"	757890267	262030663	495859604	38531840	220000000	"PG-13"	"Adventure"	"Super Hero"	136	2012	"Live Action"	1	275527217	220	757.890267	3.44495575909091
"62"	"Shrek Forever After"	755903876	238395990	517507886	60452574	165000000	"PG"	"Adventure"	"Kids Fiction"	93	2010	"Digital Animation"	1	252899165	165	755.903876	4.58123561212121
"63"	"X-Men: Days of Future Past"	748121534	233921534	514200000	23245079	200000000	"PG-13"	"Action"	"Science Fiction"	131	2014	"Live Action"	1	239647881	200	748.121534	3.74060767
"64"	"Madagascar 3: Europe's Most Wanted"	746921271	216391482	530529789	56109649	145000000	"PG"	"Adventure"	"Kids Fiction"	85	2012	"Digital Animation"	1	227537270	145	746.921271	5.15118117931035
"65"	"Monsters University"	743588329	268488329	475100000	61063417	200000000	"G"	"Adventure"	"Kids Fiction"	102	2012	"Digital Animation"	1	276414178	200	743.588329	3.717941645
"66"	"The Matrix Reloaded"	738576929	281553689	457023240	NA	150000000	"R"	"Action"	"Science Fiction"	138	2003	"Animation/Live Action"	1	390813329	150	738.576929	4.92384619333333
"67"	"Up"	731542621	293004164	438538457	215238799	175000000	"PG"	"Adventure"	"Fantasy"	89	2009	"Digital Animation"	0	326992648	175	731.542621	4.18024354857143
"68"	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	720539572	291710957	428828615	439821630	180000000	"PG"	"Adventure"	"Fantasy"	140	2005	"Animation/Live Action"	0	379064393	180	720.539572	4.00299762222222
"69"	"Gravity"	716392705	274092705	442300000	25094494	110000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	91	2012	"Live Action"	0	282090888	110	716.392705	6.51266095454545
"70"	"Captain America: The Winter Soldier"	713846958	259746958	454100000	23847984	170000000	"PG-13"	"Action"	"Science Fiction"	135	2014	"Live Action"	1	266105510	170	713.846958	4.19909975294118
"71"	"The Hunger Games: Mockingjay - Part 1"	709635885	337135885	372500000	25850495	125000000	"PG-13"	"Thriller/Suspense"	"Science Fiction"	123	2014	"Live Action"	1	345060842	125	709.635885	5.67708708
"72"	"The Amazing Spider-Man 2"	708996336	202853933	506142403	20665865	200000000	"PG-13"	"Action"	"Super Hero"	141	2013	"Live Action"	1	207819751	200	708.996336	3.54498168
"73"	"Transformers"	708098205	319071806	389026399	294777883	151000000	"PG-13"	"Action"	"Science Fiction"	142	2007	"Animation/Live Action"	0	388173113	151	708.098205	4.68939208609271
"74"	"The Twilight Saga: Eclipse"	706102828	300531751	405571077	180844144	68000000	"PG-13"	"Drama"	"Fantasy"	124	2010	"Live Action"	1	318815049	68	706.102828	10.3838651176471
"75"	"Dawn of the Planet of the Apes"	703545589	208545589	495000000	22513267	170000000	"PG-13"	"Adventure"	"Science Fiction"	130	2014	"Animation/Live Action"	1	213650737	170	703.545589	4.13850346470588
"76"	"Mission: Impossible - Rogue Nation"	700176820	194829972	505346848	NA	150000000	"PG-13"	"Action"	"Contemporary Fiction"	131	2015	"Live Action"	1	194829972	150	700.17682	4.66784546666667
"77"	"Mission: Impossible - Ghost Protocol"	694713230	209397903	485315327	24267639	145000000	"PG-13"	"Action"	"Contemporary Fiction"	132	2011	"Live Action"	1	220710171	145	694.71323	4.79112572413793
"78"	"The Twilight Saga: Breaking Dawn, Part 1"	689420051	281287133	408132918	110861116	127500000	"PG-13"	"Drama"	"Fantasy"	117	2011	"Live Action"	1	296871588	127.5	689.420051	5.40721608627451
"79"	"The Twilight Saga: New Moon"	687557727	296623634	390934093	203594975	50000000	"PG-13"	"Drama"	"Fantasy"	130	2009	"Live Action"	1	330553757	50	687.557727	13.75115454
"80"	"Forrest Gump"	679857164	330151138	349706026	NA	55000000	"PG-13"	"Drama"	"Historical Fiction"	142	1994	"Live Action"	0	672783178	55	679.857164	12.3610393454545
"81"	"The Hunger Games"	677923379	408010692	269912687	150367192	80000000	"PG-13"	"Thriller/Suspense"	"Science Fiction"	142	2011	"Live Action"	0	429026313	80	677.923379	8.4740422375
"82"	"The Sixth Sense"	672806292	293506292	379300000	NA	40000000	"PG-13"	"Thriller/Suspense"	"Fantasy"	107	1999	"Live Action"	0	481962579	40	672.806292	16.8201573
"83"	"Man of Steel"	667999518	291045518	376954000	42007429	225000000	"PG-13"	"Action"	"Super Hero"	142	2012	"Live Action"	1	299637262	225	667.999518	2.96888674666667
"84"	"Interstellar"	665417894	188017894	477400000	11805579	165000000	"PG-13"	"Adventure"	"Science Fiction"	165	2014	"Live Action"	0	192492850	165	665.417894	4.03283572121212
"85"	"Kung Fu Panda 2"	664837547	165249063	499588484	37689848	150000000	"PG"	"Adventure"	"Kids Fiction"	90	2011	"Digital Animation"	1	174417986	150	664.837547	4.43225031333333
"86"	"Men in Black 3"	654213485	179020854	475192631	31350063	215000000	"PG-13"	"Adventure"	"Science Fiction"	104	2011	"Animation/Live Action"	1	188241777	215	654.213485	3.04285341860465
"87"	"Big Hero 6"	652127828	222527828	429600000	38739577	165000000	"PG"	"Adventure"	"Science Fiction"	108	2014	"Digital Animation"	0	227698124	165	652.127828	3.95228986666667
"88"	"Ice Age: The Meltdown"	651899282	195330621	456568661	135244953	75000000	"PG"	"Adventure"	"Kids Fiction"	91	2006	"Digital Animation"	1	249605696	75	651.899282	8.69199042666667
"89"	"Star Wars Ep. II: Attack of the Clones"	648200000	302181125	346018875	NA	115000000	"PG"	"Adventure"	"Science Fiction"	143	2002	"Animation/Live Action"	1	435328061	115	648.2	5.63652173913044
"90"	"Pirates of the Caribbean: The Curse of the Black Pearl"	634954103	305411224	329542879	NA	125000000	"PG-13"	"Adventure"	"Fantasy"	144	2003	"Live Action"	0	423929016	125	634.954103	5.079632824
"91"	"Thor: The Dark World"	633360018	206360018	427000000	32176344	150000000	"PG-13"	"Adventure"	"Super Hero"	111	2013	"Live Action"	1	212437145	150	633.360018	4.22240012
"92"	"Kung Fu Panda"	631910531	215434591	416475940	145147543	130000000	"PG"	"Adventure"	"Kids Fiction"	91	2008	"Digital Animation"	0	251140327	130	631.910531	4.86085023846154
"93"	"Fast Five"	629969804	209837675	420132129	40238100	125000000	"PG-13"	"Action"	"Contemporary Fiction"	130	2011	"Live Action"	1	221480621	125	629.969804	5.039758432
"94"	"Ratatouille"	626549695	206445654	420104041	189382771	150000000	"G"	"Comedy"	"Kids Fiction"	110	2007	"Digital Animation"	0	251155543	150	626.549695	4.17699796666667
"95"	"Hancock"	624234272	227946274	396287998	99937738	150000000	"PG-13"	"Action"	"Super Hero"	92	2008	"Live Action"	0	265725671	150	624.234272	4.16156181333333
"96"	"Iron Man 2"	623256345	312128345	311128000	122727783	170000000	"PG-13"	"Adventure"	"Super Hero"	125	2010	"Live Action"	1	331117141	170	623.256345	3.66621379411765
"97"	"The Passion of the Christ"	622420667	370782930	251637737	6150298	25000000	"R"	"Drama"	"Dramatization"	127	2004	"Live Action"	0	499717542	25	622.420667	24.89682668
"98"	"The Lost World: Jurassic Park"	618626844	229074524	389552320	NA	75000000	"PG-13"	"Action"	"Science Fiction"	134	1997	"Animation/Live Action"	0	417724134	75	618.626844	8.24835792
"99"	"How to Train Your Dragon 2"	616102924	177002924	439100000	33076866	145000000	"PG"	"Adventure"	"Fantasy"	102	2013	"Digital Animation"	1	181335916	145	616.102924	4.24898568275862
"100"	"The Incredibles"	614726752	261441092	353285660	NA	92000000	"PG"	"Adventure"	"Kids Fiction"	115	2004	"Digital Animation"	0	351961078	92	614.726752	6.68181252173913
"101"	"Life of Pi"	607987022	124987022	483000000	23078954	120000000	"PG"	"Drama"	"Fantasy"	125	2011	"Live Action"	0	130678374	120	607.987022	5.06655851666667
"102"	"War of the Worlds"	606836535	234280354	372556181	NA	132000000	"PG-13"	"Action"	"Science Fiction"	116	2005	"Animation/Live Action"	0	305912477	132	606.836535	4.59724647727273
"103"	"Mamma Mia!"	602133452	143762955	458370497	146986199	52000000	"PG-13"	"Musical"	"Contemporary Fiction"	108	2008	"Live Action"	0	168017915	52	602.133452	11.5794894615385
"104"	"Madagascar: Escape 2 Africa"	599516844	180010950	419505894	113276615	150000000	"PG"	"Comedy"	"Kids Fiction"	89	2008	"Digital Animation"	1	209879658	150	599.516844	3.99677896
"105"	"Casino Royale"	594275385	167220102	427055283	208967751	102000000	"PG-13"	"Action"	"Contemporary Fiction"	144	2006	"Live Action"	1	212845325	102	594.275385	5.82622926470588
"106"	"Quantum of Solace"	591692078	169368427	422323651	52895868	230000000	"PG-13"	"Action"	"Contemporary Fiction"	106	2008	"Live Action"	1	197312505	230	591.692078	2.57257425217391
"107"	"Men in Black"	587247615	250147615	337100000	NA	90000000	"PG-13"	"Adventure"	"Science Fiction"	98	1997	"Live Action"	0	456149959	90	587.247615	6.5249735
"108"	"Tangled"	586581936	200821936	385760000	152962689	260000000	"PG"	"Adventure"	"Kids Fiction"	101	2010	"Digital Animation"	0	212862651	260	586.581936	2.25608436923077
"109"	"The Hangover Part II"	586464305	254464305	332000000	45778776	80000000	"R"	"Comedy"	"Contemporary Fiction"	102	2011	"Live Action"	1	268583382	80	586.464305	7.3308038125
"110"	"I am Legend"	585532684	256393010	329139674	141223359	150000000	"PG-13"	"Horror"	"Science Fiction"	100	2007	"Live Action"	0	309365018	150	585.532684	3.90355122666667
"111"	"Iron Man"	582443126	318604126	263839000	181923170	186000000	"PG-13"	"Action"	"Super Hero"	126	2008	"Live Action"	0	371388836	186	582.443126	3.13141465591398
"112"	"Night at the Museum"	581570293	250863268	330707025	153560084	110000000	"PG"	"Comedy"	"Kids Fiction"	108	2006	"Live Action"	0	312994434	110	581.570293	5.28700266363636
"113"	"The Croods"	573068425	187168425	385900000	46229339	135000000	"PG"	"Adventure"	"Kids Fiction"	98	2012	"Digital Animation"	0	192693688	135	573.068425	4.2449512962963
"114"	"Star Wars Ep. VI: Return of the Jedi"	572625409	309125409	263500000	18335150	32500000	"PG"	"Adventure"	"Science Fiction"	133	1983	"Live Action"	1	778214979	32.5	572.625409	17.6192433538462
"115"	"Fifty Shades of Grey"	570455257	166167230	404288027	22319566	40000000	"R"	"Drama"	"Contemporary Fiction"	125	2013	"Live Action"	0	166167230	40	570.455257	14.261381425
"116"	"The Smurfs"	563749323	142614158	421135165	39234618	110000000	"PG"	"Adventure"	"Kids Fiction"	103	2011	"Animation/Live Action"	0	150527168	110	563.749323	5.12499384545455
"117"	"Cars 2"	560155383	191450875	368704508	99191437	200000000	"G"	"Adventure"	"Kids Fiction"	107	2011	"Digital Animation"	1	202073621	200	560.155383	2.800776915
"118"	"Monsters, Inc."	559757719	289423425	270334294	NA	115000000	"G"	"Adventure"	"Kids Fiction"	92	2001	"Digital Animation"	0	412902613	115	559.757719	4.86745842608696
"119"	"The Day After Tomorrow"	556319450	186740799	369578651	NA	125000000	"PG-13"	"Adventure"	"Science Fiction"	123	2004	"Live Action"	0	251692931	125	556.31945	4.4505556
"120"	"Madagascar"	556130620	193166575	362964045	NA	75000000	"PG"	"Adventure"	"Kids Fiction"	86	2005	"Digital Animation"	0	252231549	75	556.13062	7.41507493333333
"121"	"Ted"	556016627	218665740	337350887	82385535	50000000	"R"	"Comedy"	"Contemporary Fiction"	106	2011	"Animation/Live Action"	0	229928671	50	556.016627	11.12033254
"122"	"Puss in Boots"	554987477	149260504	405726973	48688059	130000000	"PG"	"Adventure"	"Kids Fiction"	90	2011	"Digital Animation"	0	157527259	130	554.987477	4.26913443846154
"123"	"Brave"	554606532	237282182	317324350	124440689	185000000	"PG"	"Adventure"	"Kids Fiction"	93	2012	"Digital Animation"	0	249503883	185	554.606532	2.99787314594595
"124"	"Armageddon"	554595209	201573391	353021818	NA	140000000	"PG-13"	"Adventure"	"Science Fiction"	150	1998	"Live Action"	0	359737586	140	554.595209	3.96139435
"125"	"King Kong"	550517357	218080025	332437332	191419044	207000000	"PG-13"	"Adventure"	"Fantasy"	189	2005	"Animation/Live Action"	0	283511452	207	550.517357	2.65950414009662
"126"	"Mission: Impossible 2"	549588516	215409889	334178627	NA	120000000	"PG-13"	"Action"	"Contemporary Fiction"	126	2000	"Live Action"	1	334485246	120	549.588516	4.5799043
"127"	"American Sniper"	547326372	350126372	197200000	28658096	58000000	"R"	"Drama"	"Dramatization"	132	2015	"Live Action"	0	350180938	58	547.326372	9.4366615862069
"128"	"Despicable Me"	543495033	251513985	291981048	192130440	69000000	"PG"	"Comedy"	"Kids Fiction"	95	2010	"Digital Animation"	0	266813545	69	543.495033	7.87673960869565
"129"	"Sherlock Holmes: A Game of Shadows"	535663443	186848418	348815025	53202951	125000000	"PG-13"	"Action"	"Historical Fiction"	129	2011	"Live Action"	1	196993248	125	535.663443	4.285307544
"130"	"Cinderella"	534551353	201151353	333400000	7403498	95000000	"PG"	"Drama"	"Fantasy"	105	2014	"Live Action"	0	201151353	95	534.551353	5.62685634736842
"131"	"Star Wars Ep. V: The Empire Strikes Back"	534058751	290158751	243900000	19822501	23000000	"PG"	"Adventure"	"Science Fiction"	124	1980	"Live Action"	1	808182542	23	534.058751	23.2199456956522
"132"	"WALL-E"	532590994	223808164	308782830	195250036	180000000	"G"	"Adventure"	"Science Fiction"	100	2008	"Digital Animation"	0	260901655	180	532.590994	2.95883885555556
"133"	"World War Z"	531514650	202359711	329154939	21987314	190000000	"PG-13"	"Action"	"Science Fiction"	115	2011	"Live Action"	0	208333426	190	531.51465	2.79744552631579
"134"	"Godzilla"	529072193	200672193	328400000	16634145	160000000	"PG-13"	"Action"	"Science Fiction"	123	2014	"Live Action"	0	205584601	160	529.072193	3.30670120625
"135"	"The Simpsons Movie"	527071022	183135014	343936008	97510246	72500000	"PG-13"	"Comedy"	"Contemporary Fiction"	86	2007	"Digital Animation"	0	222796519	72.5	527.071022	7.26994513103448
"136"	"Meet the Fockers"	516567575	279167575	237400000	NA	60000000	"PG-13"	"Comedy"	"Contemporary Fiction"	114	2004	"Live Action"	1	371361390	60	516.567575	8.60945958333333
"137"	"Terminator 2: Judgment Day"	513815401	201858746	311956655	NA	100000000	"R"	"Action"	"Science Fiction"	136	1991	"Animation/Live Action"	1	401320123	100	513.815401	5.13815401
"138"	"Toy Story 2"	511329494	245823397	265506097	NA	90000000	"G"	"Adventure"	"Kids Fiction"	92	1999	"Digital Animation"	1	401516542	90	511.329494	5.68143882222222
"139"	"Ghost"	506112351	206143657	299968694	NA	22000000	"PG-13"	"Drama"	"Fantasy"	127	1990	"Live Action"	0	408867871	22	506.112351	23.0051068636364
"140"	"Sherlock Holmes"	498438212	209028679	289409533	59084820	90000000	"PG-13"	"Adventure"	"Historical Fiction"	133	2009	"Live Action"	0	229397285	90	498.438212	5.53820235555556
"141"	"Twister"	495700000	241688385	254011615	NA	88000000	"PG-13"	"Action"	"Contemporary Fiction"	114	1996	"Live Action"	0	457676873	88	495.7	5.63295454545455
"142"	"Aladdin"	495277270	208577270	286700000	NA	28000000	"G"	"Comedy"	"Fantasy"	90	1992	"Hand Animation"	0	421129628	28	495.27727	17.6884739285714
"143"	"How to Train Your Dragon"	494870991	217581231	277289760	140577413	165000000	"PG"	"Adventure"	"Fantasy"	91	2010	"Digital Animation"	0	230818109	165	494.870991	2.99921812727273
"144"	"Rio 2"	493738435	131538435	362200000	27384685	130000000	"G"	"Adventure"	"Kids Fiction"	101	2014	"Digital Animation"	1	134758465	130	493.738435	3.79798796153846
"145"	"Clash of the Titans"	493214888	163214888	330000000	31249395	125000000	"PG-13"	"Action"	"Fantasy"	106	2010	"Live Action"	0	173144306	125	493.214888	3.945719104
"146"	"Shrek"	491812794	267655011	224157783	NA	50000000	"PG"	"Adventure"	"Kids Fiction"	90	2001	"Digital Animation"	0	395803423	50	491.812794	9.83625588
"147"	"Angels & Demons"	490875846	133375846	357500000	36244724	150000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	138	2009	"Live Action"	1	148847443	150	490.875846	3.27250564
